file,metric,correct,total,accuracy
binary_basketball.csv,exo_correct,12,50,0.24
binary_basketball.csv,ego_correct,12,50,0.24
binary_n16_qwen.csv,exo_correct,25,50,0.5
binary_n16_qwen.csv,ego_correct,25,50,0.5
binary_n32.csv,exo_correct,25,50,0.5
binary_n32.csv,ego_correct,25,50,0.5
binary_n8_qwen_ego.csv,correct,25,50,0.5
binary_n8_qwen_exo.csv,correct,25,50,0.5
binary_normal_8.csv,binary_exo_correct,25,50,0.5
binary_normal_8.csv,binary_ego_correct,25,50,0.5
fourclass_n8_qwen.csv,exo_correct,25,100,0.25
fourclass_n8_qwen.csv,ego_correct,24,100,0.24
structured_eval.csv,exo_correct,24,100,0.24
structured_eval.csv,ego_correct,19,100,0.19
structured_n8_qwen.csv,exo_correct,19,100,0.19
structured_n8_qwen.csv,ego_correct,18,100,0.18
binary_n16_videollava.csv,exo_correct,38,50,0.76
binary_n16_videollava.csv,ego_correct,16,50,0.32
binary_n32.csv,exo_correct,0,50,0.0
binary_n32.csv,ego_correct,0,50,0.0
binary_n8.csv,exo_correct,25,50,0.5
binary_n8.csv,ego_correct,25,50,0.5
fourclass_n8_vl.csv,exo_correct,0,100,0.0
fourclass_n8_vl.csv,ego_correct,0,100,0.0
structured_n8_vl.csv,exo_correct,0,100,0.0
structured_n8_vl.csv,ego_correct,0,100,0.0
