clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
0ec8c380-66df-414c-8ed1-a644c76539d1,uniandes_bouldering_022_12,Novice,ERROR,Unknown,False,ERROR,Unknown,False
586597cc-59c5-45d5-9596-0b6506d9c0ba,uniandes_bouldering_037_38,Late Expert,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with a certain level of fluency and precision, but there is still room for improvement. The person's body alignment is generally good, but there are some moments where they could improve their technique. Overall, the person is demonstrating a solid foundation in the activity, but there is still room for growth and refinement.",Intermediate Expert,False,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with some level of fluency and precision, but there are still areas for improvement. The person's body alignment is not perfect, and their movement could be more fluid. However, they are not a complete novice, as they are able to perform the activity with some level of proficiency.",Intermediate Expert,False
9ceee09a-ab19-4463-baac-0ed48d21827e,uniandes_bouldering_024_44,Novice,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with a certain level of fluency and precision, but there is still room for improvement. The person's body alignment is generally good, but there are moments where they could improve their technique. The person's movements are smooth, but they could benefit from refining their technique to achieve a higher level of expertise.",Intermediate Expert,False,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are able to maintain their balance and positioning while climbing, but there are some areas where they could improve their technique. The person's body alignment is generally good, but they could work on their movement fluency and technical precision to become a late expert. The video shows that the person is capable of climbing, but there is room for improvement in their technique.",Late Expert,False
08f0616c-d3c4-414c-a492-d8d157872915,uniandes_bouldering_035_53,Early Expert,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with some level of fluency and precision, but there are still some areas for improvement. The person is seen climbing a rock wall, which requires a certain level of technical skill and body alignment. However, the video does not provide enough information to determine their overall proficiency in the activity.",Intermediate Expert,False,"Based on the video, the person appears to be a late expert in the activity. The individual's body alignment is precise, and their movements are fluid and well-executed. The person's technique is technically precise, and they demonstrate a high level of skill and experience in the activity. The video captures the person's performance in a dark room, which adds to the overall impression of a skilled and experienced individual.",Late Expert,False
5f1dd7a9-18b5-400a-a3de-1c30f547235e,uniandes_bouldering_027_19,Early Expert,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are shown to be in the process of climbing a rock wall, which requires a certain level of technical precision and body alignment. The person's movements are fluid, indicating that they have some experience in the sport. However, there are still some areas for improvement, such as better body alignment and more precise movements. Overall, the person seems to be making progress in their rock climbing journey, but they are not yet at an advanced level of expertise.",Unknown,False,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are able to maintain their balance and positioning while climbing the wall, but there are some areas where they could improve their technique. The person's body alignment is generally good, but they could work on their movement fluency and technical precision to become a late expert. The video shows that the person is capable of climbing the wall, but there is room for improvement in terms of technique and mastery.",Late Expert,False
baf283a8-4747-45f1-9c78-241003a8f1b5,uniandes_bouldering_034_56,Intermediate Expert,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are shown to be in the process of climbing a rock wall, which requires a certain level of technical precision and body alignment. The person's movements are fluid, indicating that they have some experience in the sport. However, there are still some areas for improvement, such as foot placement and grip strength. Overall, the person's performance is noteworthy, but they still have room to grow and refine their skills.",Unknown,False,"Based on the video, the person appears to be at an intermediate skill level. They are able to perform the activity with some level of proficiency, but there are still areas for improvement. The person's body alignment is not perfect, and their movement fluency could be better. Additionally, the technical precision of their technique could be enhanced. Overall, the person is not a beginner, but they are not yet at an advanced level of expertise.",Unknown,False
ea2d7015-0bf2-422c-b6ac-ebcf88fef619,uniandes_bouldering_025_13,Novice,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are shown to be in the process of climbing a rock wall, which requires a certain level of technical precision and body alignment. The person's movements are fluid, indicating that they have some experience in the sport. However, there are still some areas for improvement, such as better body alignment and more precise movements. Overall, the person seems to be making progress in their rock climbing journey, but they are not yet at an advanced level of expertise.",Unknown,False,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with some level of fluency and precision, but there are still areas for improvement. The person's body alignment is generally good, but there are moments where they could improve their technique. The person's movement is generally smooth, but there are moments where they could be more fluid in their actions. Overall, the person is not a novice, but they are not yet at the late expert level.",Late Expert,False
0dd0e0b5-cbd2-42d3-bc00-64375f14f374,uniandes_bouldering_032_81,Intermediate Expert,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with a certain level of fluency and precision, but there is still room for improvement. The person's body alignment is generally good, but there are some instances where they could improve their technique. The person's movement is generally smooth, but there are moments where they could be more fluid in their actions. Overall, the person is demonstrating a good understanding of the activity, but there is still room for growth and refinement.",Intermediate Expert,True,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with a certain level of fluency and precision, but there is still room for improvement. The person's body alignment is generally good, but there are some instances where they could improve their technique. The person's movement is generally smooth, but there are moments where they could be more fluid in their actions. Overall, the person is demonstrating a good understanding of the activity, but there is still room for growth and refinement.",Intermediate Expert,True
1088fd1c-1562-4ee5-b85c-ceb59bf85f20,uniandes_bouldering_035_28,Early Expert,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with some level of fluency and precision, but there are still areas for improvement. The person is seen climbing a rock wall, which requires a certain level of technical skill and body alignment. However, the video does not provide enough information to determine their overall proficiency in the activity.",Intermediate Expert,False,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are shown to be in the process of climbing a rock wall, and their body alignment and movement fluency are noticeable. However, there are some technical precision issues, such as the person not using a proper climbing technique or not having the correct grip on the rock. The person's technique could be improved with more practice and guidance from an expert coach.",Unknown,False
1c4f1db1-70bb-47e6-8d1f-00e924aa0a98,uniandes_bouldering_033_38,Intermediate Expert,"Based on the video, the person appears to be at an intermediate skill level in rock climbing. They are shown to be in the process of climbing a rock wall, which requires a certain level of technical precision and body alignment. The person's movements are fluid, but there are some areas where they could improve their technique. For example, they could work on their foot placement and grip strength to ensure a more secure climb. Overall, the person's performance is noteworthy, but there is still room for improvement to reach a higher skill level.",Unknown,False,"Based on the video, the person appears to be at an intermediate expert skill level. They are able to perform the activity with some level of fluency and precision, but there are still areas for improvement. The person's body alignment is generally good, but there are moments where they could improve their technique. The person's movement is generally smooth, but there are moments where they could be more fluid in their actions. Overall, the person is not a novice, but they are not yet at the late expert level.",Late Expert,False
