clip_id,take_folder,ground_truth,answer,predicted,correct
08b98d19-224d-4f85-9aa9-23cd395f6ab4,uniandes_bouldering_025_56,Novice,"Observations: The climber begins by lying on the mats, then transitions into a quadrupedal position (on hands and knees) before standing up. The movement is slow, deliberate, and lacks any climbing action, as the climber does not engage with the wall surface itself. Throughout the duration of the video, the individual is simply orienting themselves, preparing gear, or transitioning from a resting state on the floor to a standing position.

Errors: There are no climbing-related errors to evaluate because the individual does not engage in any climbing technique, boulder attempt, or athletic maneuver. The movement is exclusively limited to floor-based positioning and standing up.

Skill Level: Novice",Novice,True
e5c4c6aa-f142-4b45-bb12-97e312cb20fd,uniandes_bouldering_028_24,Early Expert,"Observations: The climber approaches the overhanging bouldering wall with a front-on orientation. Throughout the climb, she maintains a relatively static, controlled pace. Her technique is characterized by frequent ""straight-arm"" hangs, which is a sound energy-saving strategy on steep terrain. She utilizes a mixture of open-hand and crimp grips. Her footwork is methodical, though she occasionally relies more on upper body strength to reach for the next hold rather than pushing through her legs. She demonstrates good core tension as she shifts her center of gravity to maintain balance on the overhang.

Errors: The primary error is a lack of consistent hip engagement; she often keeps her body away from the wall, which increases the strain on her forearms. Furthermore, there is a momentary lapse in tension during a transition between handholds where her feet slightly lose contact, indicating a need for better ""quiet feet"" technique to ensure stability before reaching. She also misses an opportunity to utilize more ""drop-knee"" positioning to pivot her hips closer to the wall, which would have made the reach for the final sequence more efficient.

Skill Level: Intermediate Expert",Intermediate Expert,False
893cede7-d8c5-4a4d-9666-b4a946b7c7eb,uniandes_bouldering_023_68,Early Expert,"Observations: The climber approaches a steep, overhanging bouldering wall. They initiate the movement with a dynamic reach, utilizing a ""deadpoint"" style to transition between holds. Throughout the climb, the climber maintains a relatively low center of gravity, focusing on keeping their hips engaged and close to the wall to counter the overhang's angle. They use a mix of open-hand and crimp grips, and their footwork involves active pressing on the wall's texture and footholds to maintain tension. The core is engaged to prevent ""barn-dooring"" (swinging off the wall).

Errors: The primary error is a slight lack of ""static precision"" during the hand transitions. There is a moment where the climber’s body weight shifts abruptly, causing a slight oscillation in their torso, which indicates a minor struggle with maintaining constant tension. Furthermore, when reaching for the final hold shown in the sequence, the climber does not fully lock off, resulting in a slightly rushed movement that could lead to an uncontrolled fall if the hold were smaller or the angle steeper. The foot placement on the initial moves is slightly hurried, lacking the deliberate ""placing and weighting"" technique seen in elite climbers.

Skill Level: Intermediate Expert",Intermediate Expert,False
b6e1d3b6-622a-496f-9996-a1340314e268,uniandes_bouldering_027_32,Novice,"Observations: The climber begins in a low, seated position on the floor, reaching up to establish a two-handed start on the lowest holds of the overhanging wall. She utilizes a ""sit start"" technique, pulling her body weight off the floor while maintaining tension through her core. Her body is positioned directly under the starting holds, and she uses her feet to push off the mat as she initiates the upward movement.

Errors: The climber appears to lack the necessary explosive power or core engagement required to pull her hips off the ground and transition into a stable climbing position on the overhang. Because she is unable to maintain the necessary tension once her feet leave the floor, she immediately loses contact with the holds. The primary issue is a lack of ""engagement""—she does not fully load her feet or create enough tension between her arms and her toes to stabilize her body against the steep incline of the wall.

Skill Level: Novice",Novice,True
3e219953-7cec-45ee-9c05-818d95513167,uniandes_bouldering_034_99,Early Expert,"Observations: The climber begins by approaching the wall with a focus on a specific, challenging overhang route. She adopts a side-on orientation, using a dynamic reach with her right arm to secure the initial hold. Her lower body remains extended, showing good core engagement as she pivots to maintain balance on the steep incline. She utilizes an ""inside edge"" technique with her right foot to keep her hips close to the wall, which is essential for preserving energy on overhangs.

Errors: There is a slight lack of tension in the core during the initial transition from the floor to the wall, causing her to swing slightly. She also slightly over-gripped the hold upon contact, which indicates a minor lack of confidence or need for better flow. Additionally, her foot placement on the initial hold was somewhat tentative, resulting in a minor readjustment before she could commit to the full weight shift.

Skill Level: Intermediate Expert",Intermediate Expert,False
3e8cacb0-dffe-424e-ac44-539f255c5156,uniandes_bouldering_032_77,Intermediate Expert,"Observations: The climber begins with a dynamic start, utilizing a drop-knee technique to gain initial momentum. Throughout the climb, they demonstrate good core tension and body positioning, particularly through the mid-section of the wall. They utilize a mix of flagging and controlled dynamic movements, maintaining engagement with the wall by keeping their center of gravity close to the structure. The climber demonstrates good anticipation of the next handhold placements.

Errors: The climber lacks fluidity in their footwork; there is a moment of hesitation before the crux where their feet become unweighted and slightly jittery. Their grip technique on the final reach is slightly static rather than utilizing the residual momentum from the previous move, which forces them to ""deadpoint"" the finish, leading to a loss of control that results in a fall.

Skill Level: Intermediate Expert",Intermediate Expert,True
4d46b132-1c9e-404d-86fd-f7fc1dd4c320,uniandes_bouldering_034_65,Early Expert,"Observations: The climber begins in a low, compressed starting position, using a standard ""sit-start"" on the overhang. They initiate the movement by flagging their left leg to maintain balance and generate momentum. They then perform a dynamic move, reaching for a higher hold with their right hand while simultaneously releasing their left hand from the start hold. The climber maintains tension throughout the core, successfully completing the first move and transitioning into a hanging position on the wall before dropping down.

Errors: The primary error is a lack of sustained tension and engagement after the initial deadpoint. Upon catching the second hold, the climber's momentum causes them to ""barn-door"" (rotate outward) significantly, indicating that their feet were not positioned to provide effective opposition or counter-balance. Their footwork on the initial move is slightly imprecise, leading to a loss of control that forces them to abort the climb shortly after catching the hold.

Skill Level: Intermediate Expert",Intermediate Expert,False
a6b13562-f2e4-4254-bc1c-9e7513a438c3,uniandes_bouldering_023_23,Early Expert,"Observations: The climber begins by standing in front of the wall, analyzing the route. She initiates the movement by reaching for an orange hold with her right hand while establishing a foot placement. She then transitions to a static hanging position, using her left arm to reach for a higher hold. Throughout the movement, her gaze remains focused on the wall, and she maintains a controlled, methodical pace, showing core engagement to keep her body close to the wall.

Errors: The climber performs a very brief, low-intensity sequence (likely just a test or warm-up move) and disengages almost immediately. Because the movement is so abbreviated, it is difficult to critique the full climb; however, her footwork is slightly hesitant, and she spends a significant amount of time ""reading"" the wall relative to the length of the actual climbing performed.

Skill Level: Intermediate Expert",Intermediate Expert,False
1fd6d3f8-5a49-4af5-9e39-f80dff8bdd4b,uniandes_bouldering_022_39,Early Expert,"Observations: The climber approaches the wall and begins on a steep, overhanging section. She utilizes a ""drop knee"" technique to stabilize her body, keeping her core tight and hips close to the wall to conserve energy on the overhang. Her footwork is deliberate, using precise toe placements. She transitions between holds with fluid, static movements, prioritizing balance and controlled reaching over explosive dynos. She maintains a consistent center of gravity by shifting her weight according to the placement of the next handhold.

Errors: During the start of the climb, there is a slight hesitation in her foot placement on the lower holds, which leads to minor over-gripping. She also exhibits a slight lack of tension in her core right before the final push, causing her hips to swing away from the wall momentarily. This indicates a minor lapse in engagement that forces her to adjust her grip strength to compensate for the lost leverage.

Skill Level: Intermediate Expert",Intermediate Expert,False
d29c0c12-1d70-4e13-8384-97c0db59f47e,uniandes_bouldering_034_88,Intermediate Expert,"Observations: The climber begins in a low, seated starting position beneath the overhang. They initiate the movement with a powerful dynamic pull, engaging their core and shoulders to reach for the initial holds. As they transition onto the wall, they utilize a technique focusing on body tension and precise foot placement to maintain balance on the steep incline. They maintain a controlled, steady rhythm, employing straight arms where possible to save energy before reaching for the next hold.

Errors: The climber demonstrates a slight lack of fluidity during the transition from the ground to the first few holds, appearing to struggle momentarily with weight distribution before finding their rhythm. There is also a brief moment of over-gripping, which is common in high-intensity bouldering but indicates a slight lack of efficiency in energy conservation.

Skill Level: Intermediate Expert",Intermediate Expert,True
