clip_id,take_name,ground_truth,answer,predicted,correct
8ebffdce-ebf0-4824-a266-2c910dd6b5a7,uniandes_bouldering_036_71,Late Expert,Intermediate Expert,Intermediate Expert,False
ab4c2f5f-129f-41ed-9bdb-72d8ebeb5539,uniandes_bouldering_037_46,Intermediate Expert,Early Expert,Early Expert,False
3b686d9f-ac68-4bf5-9aa8-a7e302dc47db,uniandes_bouldering_035_19,Early Expert,Intermediate Expert,Intermediate Expert,False
34f0ba8e-0311-44ec-a4c7-be958bc1a46a,uniandes_bouldering_032_46,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
107416c7-6d51-4e77-9624-b7fcfc34e196,uniandes_bouldering_032_63,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
3f4904f8-2373-47de-bf06-e897f71bcf19,uniandes_bouldering_029_76,Early Expert,Early Expert,Early Expert,True
e8c28e76-e8d5-41df-8ce6-a645ce928b7b,uniandes_bouldering_032_59,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
2d2f63c6-ba70-47bb-be76-a4314c7dc7b8,uniandes_bouldering_035_62,Early Expert,Intermediate Expert,Intermediate Expert,False
ba33b214-c9db-4d96-a734-28e69f31b4f8,uniandes_bouldering_035_23,Early Expert,Early Expert,Early Expert,True
1bae4806-b9a5-4271-9d40-b14e42c50fa0,uniandes_bouldering_028_42,Novice,Intermediate Expert,Intermediate Expert,False
3378ba20-8fed-4bdb-a325-3e0c42ca6bae,uniandes_bouldering_027_30,Novice,Intermediate Expert,Intermediate Expert,False
8d6cabe4-79c4-4349-a05d-2d7132f83c94,uniandes_bouldering_032_44,Intermediate Expert,Early Expert,Early Expert,False
bf0bb126-a4a2-49f8-ba3e-18f82e9d615a,uniandes_bouldering_027_92,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
53bf4932-e94f-47b3-b7df-8b780fbcbc4d,uniandes_bouldering_033_6,Intermediate Expert,Early Expert,Early Expert,False
a57791d5-65d8-49aa-a18e-3cf6e7456cfc,uniandes_bouldering_035_36,Early Expert,Intermediate Expert,Intermediate Expert,False
5d486d41-7b7b-427a-b204-21308ce879d7,uniandes_bouldering_027_50,Novice,Intermediate Expert,Intermediate Expert,False
47c1bd4f-331c-469e-b720-91989a8ee5ad,uniandes_bouldering_027_49,Novice,Intermediate Expert,Intermediate Expert,False
ec173b33-65be-4e8f-9b42-0725c4f5d670,uniandes_bouldering_037_32,Late Expert,Intermediate Expert,Intermediate Expert,False
7869fe54-f7d3-4961-b9f3-364597d0cf86,uniandes_bouldering_028_11,Novice,Intermediate Expert,Intermediate Expert,False
d75616cc-6fbf-4201-b400-6395f517979c,uniandes_bouldering_027_26,Novice,Intermediate Expert,Intermediate Expert,False
3be4784e-6a2a-40c1-b2ba-c09251033251,uniandes_bouldering_029_87,Novice,Early Expert,Early Expert,False
b36d3912-538f-423f-9c79-82abc183a50b,uniandes_bouldering_037_20,Late Expert,Intermediate Expert,Intermediate Expert,False
1485de31-6e23-4d1e-b57a-ba930f737a97,uniandes_bouldering_027_84,Novice,Early Expert,Early Expert,False
e8f2df2e-5d2d-4352-b06c-95554b1ecdb3,uniandes_bouldering_031_68,Late Expert,Intermediate Expert,Intermediate Expert,False
4f53ded9-6a79-4ea0-bc28-f93981f4db82,uniandes_bouldering_029_9,Early Expert,Intermediate Expert,Intermediate Expert,False
477451cc-4a81-459b-84b1-eece8122946e,uniandes_bouldering_027_29,Novice,Early Expert,Early Expert,False
