clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is standing with his feet apart, arms at his sides, and then begins to move his arms up and down while stepping side to side.

Errors: The person's movements are not fluid and appear to be somewhat stiff.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in an office space with desks, chairs, and a whiteboard. They are wearing a black shirt and black pants. Their movements are fluid and graceful, suggesting they have some experience with dance.

Errors: There are no significant errors in the person's movements. They appear to be performing a choreographed routine with precision and grace.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The woman is dancing in a studio with a backdrop that says ""Ile."" She is wearing a blue jacket, black pants, and sunglasses. She is moving her arms and legs in a rhythmic manner, and she appears to be enjoying herself.

Errors: There are no apparent errors in her movement. She seems to be performing the dance steps correctly.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain. They are wearing a blue shirt and jeans. They are moving their arms and legs in a rhythmic manner.

Errors: The person's movements are not very fluid, and they seem to be struggling with some steps. Their arms and legs do not move in perfect sync with the music.

Skill Level: Novice",Novice,True
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The woman is dancing in a studio with a backdrop that says ""Le Yoga"". She is wearing a black tank top and black leggings. She is moving her arms and legs in a fluid motion, and she appears to be enjoying herself.

Errors: There are no apparent errors in her movement.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: A man is dancing in front of a black curtain. He is wearing a white shirt and black pants. He is moving his arms and legs in a rhythmic fashion.

Errors: The man is not following a specific dance routine. His movements are not precise and he is not following a specific rhythm.

Skill Level: Novice",Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The woman is dancing in a studio with a man filming her. She is wearing a white shirt and black pants, and she is moving her arms and legs in a rhythmic manner.

Errors: The woman's movements are not very fluid, and she seems to be struggling with some of the steps. Her posture is not always upright, and she appears to be having difficulty keeping her balance.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a black shirt and black pants. They are moving their arms and legs in a rhythmic manner, and they are looking at the camera.

Errors: The person's movements are not very precise, and they are not following a specific dance routine. They are also not moving their arms and legs in a coordinated manner.

Skill Level: Novice",Novice,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is standing with his feet apart, facing forward. He is moving his arms and legs in a rhythmic manner, suggesting he is dancing.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. His steps are not perfectly aligned with the beat, and there are some awkward movements that suggest he may still be learning the dance routine.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a blue shirt and black pants. Their movements are fluid and graceful, suggesting they have some experience with dance.

Errors: There are no significant errors in the person's movements. They appear to be performing a choreographed routine with precision and grace.

Skill Level: Intermediate Expert",Intermediate Expert,False
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a wooden floor, wearing a plaid shirt and jeans. They are moving their arms and legs in a rhythmic manner, stepping side to side and swaying their hips.

Errors: The person's movements appear to be somewhat stiff and uncoordinated, suggesting they may not have much experience dancing. Their steps are not perfectly aligned, and there are moments where their balance seems to waver.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a wooden floor. They are wearing black shoes and are moving their feet and arms in a rhythmic manner. There is a table, a chair, and some equipment on the floor.

Errors: The person's movements are not very fluid and they seem to be struggling with the dance steps. Their feet are not moving in sync with the music and their arms are not moving in a graceful manner.

Skill Level: Novice",Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The woman is dancing in a studio with a white floor and a red wall. She is wearing a black tank top and black leggings. She is moving her arms and legs in a fluid motion, and she appears to be enjoying herself.

Errors: There are no apparent errors in the woman's movement. She is dancing in a controlled and graceful manner.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The man X dances in the room.

Errors: N/A

Skill Level: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Ile."" They are wearing a blue jacket, black pants, and black shoes. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head.

Errors: The person's movements are not perfectly synchronized with the music, and they appear to be slightly off balance at times.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in front of a black curtain with white dots on it. They are wearing a red shirt and black pants. The camera is positioned to capture the person from a distance, showing the entire scene.

Errors: The person's movements appear to be somewhat stiff and uncoordinated. Their arms and legs do not move fluidly, and there is no clear rhythm to their dance steps. It seems like they are still learning the routine or have not practiced enough.

Skill Level: Novice",Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""1Lè"". They are wearing a black top, blue jeans, and brown shoes. They are moving their arms and legs in a rhythmic manner, stepping side to side and swaying their hips.

Errors: The person's movements are not very fluid or precise. Their steps are uneven and they appear to be struggling to maintain a consistent rhythm. Their arms are not moving in a coordinated manner with their legs.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a black shirt and blue jeans. The person is moving their arms and legs in a rhythmic manner, suggesting they are performing a dance routine.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. Their steps seem to be uneven, and there are moments where their arms and legs do not move in sync with each other. Additionally, the person appears to be looking down at their feet rather than focusing on their overall form.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The man is dancing in a room with a white floor and a white wall. He is wearing a blue shirt and black pants. He is moving his arms and legs in a rhythmic manner, and he appears to be enjoying himself.

Errors: There are no apparent errors in the man's movement. He seems to be dancing with confidence and grace.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a wooden floor and black curtains. They are wearing dark clothing and appear to be moving their arms and legs in a rhythmic manner.

Errors: The person's movements are not very fluid, and they seem to be struggling to maintain a consistent rhythm. Their steps are uneven, and they occasionally lose balance.

Skill Level: Novice",Novice,False
b8afa573-2f0f-4b77-b4b3-5fbb7197dd1f,uniandes_dance_008_11,Late Expert,"Observations: The woman is dancing in a studio with a man filming her. She is wearing a purple shirt and black pants. She is moving her arms and legs in a fluid motion, and her hair is flowing behind her.

Errors: There are no apparent errors in her movement.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a watch on their left wrist. Their right hand is raised in the air, and they are moving their arms and legs in a rhythmic manner.

Errors: The person's movements appear to be somewhat stiff and uncoordinated. There are no clear errors in their technique, but their movements could be more fluid and expressive.

Skill Level: Novice",Novice,False
50e6c59b-737e-447c-984c-fde5cd3e5e80,uniandes_dance_023_51,Early Expert,"Observations: The man is dancing in a studio with a backdrop that says ""Le Sport."" He is wearing a black shirt and black pants. He is moving his arms and legs in a rhythmic manner, and he appears to be enjoying himself.

Errors: There are no apparent errors in the man's movement. He seems to be dancing with confidence and grace.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain. They are wearing a white shirt and black pants. They are moving their arms and legs in a rhythmic manner.

Errors: The person's movements are not very fluid, and they seem to be struggling with some steps. Their posture is not very good, and they are not using their full range of motion.

Skill Level: Novice",Novice,False
7c8dc8cc-c863-4082-a011-ba385306537a,uniandes_dance_024_3,Novice,"Observations: The man X dances in the studio.

Errors: None.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in front of a black curtain with white dots on it. They are wearing a black shirt and black pants. The person is moving their arms and legs in a rhythmic manner, and they are also swaying their hips.

Errors: The person's movements are not very fluid, and there are some awkward steps that could be improved upon. Additionally, the person's posture is not always upright, which can affect their overall performance.

Skill Level: Novice",Novice,True
