clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is dancing in a large room with a lot of chairs and a dining table. They are wearing a grey shirt and blue jeans. The person is moving their arms and legs in a coordinated manner, suggesting that they have some experience in dancing.
Errors: The person is not using their feet to move, which is a common technique in dancing. They are also not using their hips and torso to move, which is another essential aspect of dancing.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a circle, moving their arms and legs in a coordinated manner. They are wearing a black shirt and pants, and their hair is tied back in a ponytail. The dance appears to be a combination of hip hop and modern dance styles.
Errors: The person's footwork is not as precise as it could be, and they could improve their technique by focusing on their foot placement and weight distribution.
Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The person is dancing in a room with a black background. They are wearing a blue shirt and black pants. They are holding a white stick in their right hand and a white ball in their left hand. They are performing a dance routine with the ball and stick.
Errors: The person is not using the ball and stick in a proper manner. They are not following the correct technique for using the ball and stick.
Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with black curtains. They are wearing a blue shirt and black pants. The person is moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is dancing in a room with a red wall and a white floor. They are wearing a black tank top and black pants. They are performing a dance routine with their arms and legs, moving in a coordinated manner.
Errors: The person's movements are not perfectly synchronized, and they are not following a specific choreography.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with black curtains. They are wearing a black dress and have their arms outstretched. The dancer's technique is precise and well-executed, with fluid movements and a strong sense of rhythm.
Errors: There are no noticeable errors in the dancer's technique or form.
Skill Level: Late Expert",Late Expert,True
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The person is dancing in a room with a white shirt and black pants. They are performing a dance routine with their arms and legs, and they are wearing a camera on their head.
Errors: The person is not using their arms and legs in a coordinated manner, which could affect the overall flow and effectiveness of the dance.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a black background. They are wearing black clothing and are in a standing position. The dancer's movements are fluid and graceful, indicating a high level of skill and experience.
Errors: There are no noticeable errors in the dancer's technique or body position.
Skill Level: Late Expert",Late Expert,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is dancing in a room with a red wall and a white floor. They are wearing blue jeans and a black jacket. They are moving their arms and legs in a coordinated manner, suggesting that they have some level of skill in dancing.
Errors: The person is not using their feet to move, which is a common technique in dancing. They are also not using their hips and torso to move, which is another essential aspect of dancing.
Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with black curtains. They are wearing a black dress and have their arms outstretched. The dancer's technique is precise and well-executed, with fluid movements and a strong sense of rhythm.
Errors: There are no noticeable errors in the dancer's technique or form.
Skill Level: Late Expert",Late Expert,False
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a hardwood floor. They are wearing blue jeans and a plaid shirt. They are moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing on a wooden floor, wearing a black dress. They are moving their arms and legs in a coordinated manner, displaying a good sense of rhythm and timing. The dancer appears to be in control of their movements and maintains a steady pace throughout the performance.
Errors: There are no apparent errors in the dancer's technique or body position.
Skill Level: The dancer appears to be an intermediate expert in their craft, as they demonstrate a good level of control and coordination in their movements.",Intermediate Expert,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is performing a dance routine in a room with a white wall. They are wearing black pants and a black top. The person is moving their arms and legs in a coordinated manner, suggesting a good level of skill and experience in dancing.
Errors: The person's feet are not in sync with their body movements, which could indicate a lack of proper technique or a beginner's mistake.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with black curtains and a white floor. They are wearing a black shirt and black pants. The person is moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is dancing in a room with a red and black sign on the wall. They are wearing a blue jacket and black pants. They are holding a stick in their hand and are moving their body in a rhythmic manner.
Errors: The person is not following the rhythm of the music, which is a crucial aspect of dancing.
Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with black curtains. They are wearing a black dress and are performing a dance routine. The person's body position is well-balanced, and they are using their arms and legs to move in a coordinated manner. The dancer's technique is precise, and they are executing the dance moves with ease.
Errors: There are no errors or imprecisions in the dancer's movement.
Skill Level: Late Expert",Late Expert,False
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a room with a red wall and a white floor. They are wearing blue jeans and a black shirt. They are moving their arms and legs in a coordinated manner, suggesting that they have some level of skill in dancing.
Errors: The person is not using their feet to move, which is a common technique in dancing. They are also not using their hips and torso to move, which is another essential aspect of dancing.
Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with black curtains. They are wearing a black dress and have their arms outstretched. The dancer's movements are fluid and graceful, indicating a high level of skill and experience.
Errors: There are no noticeable errors in the dancer's technique or body position.
Skill Level: Late Expert",Late Expert,False
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is dancing in a room with a white floor and a window. They are wearing a blue shirt and black pants. They are moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a red wall and a window. They are wearing a black dress and are moving their arms and legs in a coordinated manner. The dancer appears to be in sync with the music.
Errors: The dancer's feet are not in the correct position, and their arms are not moving in a fluid motion.
Skill Level: Novice",Novice,False
