clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is standing in a room with multiple desks and chairs, holding a phone in front of them. They appear to be looking at the phone screen, which displays a QR code. The person then lowers the phone and begins to walk forward, taking small steps. They continue walking until they reach the edge of the frame.

Errors: The person's movement appears to be slow and deliberate, suggesting that they may not be familiar with the activity they are performing. There are no significant errors in their movement, but their pace and technique could be improved for better performance.

Skill Level: Novice",Novice,False,"Observations: The person is standing in front of a whiteboard, holding a marker and writing on it. They are wearing a white shirt and blue shorts. The room has a carpeted floor and several chairs and tables. There is a bookshelf in the corner with books and other items on it. The person appears to be focused on their task and is moving their arm smoothly as they write.

Errors: The person's writing style could be improved by making sure each letter is clear and legible. They may also want to consider using a different color marker for better contrast against the whiteboard.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The person is performing a dance routine, moving her arms and legs rhythmically to music. She appears to be practicing or rehearsing, as she is not performing for an audience.

Errors: The person's movements are somewhat stiff and lack fluidity, indicating that she may still be developing her technique. Her footwork could also be improved, as it does not appear to be perfectly aligned with the beat of the music.

Skill Level: Novice",Novice,True,"Observations: The person is standing in a room with a camera on a tripod. They are looking at the camera and appear to be preparing for a photo shoot. There are other people in the room, but they are not the focus of the video. The person is wearing a blue shirt and black pants. The room has a white floor and a white wall. There is a door in the background. The person is holding a camera and appears to be taking a picture. The person is standing still and looking at the camera. The person is not moving their arms or legs. The person is not speaking. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the room. The person is not looking at anyone else in the room. The person is not looking at anything else in the",Unknown,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is performing a dance routine, moving her arms and legs in a rhythmic manner. She appears to be following a set of steps, possibly a choreographed sequence. Her movements are fluid and coordinated, suggesting she has some experience with dance.

Errors: There are no significant errors in the person's movement. Her steps are consistent and well-timed, indicating that she is likely following a pattern or routine.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in a room with a black curtain and a white wall. They are wearing a white shirt and black pants. They are holding a camera on a tripod and are looking at it. They are also holding a phone in their left hand. There are other people in the room, but they are not the focus of the video. The person is standing still and appears to be setting up for a photo shoot.",Unknown,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The person is performing a dance routine with fluid movements, transitioning between different steps and arm positions. They maintain a steady rhythm and appear to be comfortable with the choreography.

Errors: There are no significant errors observed in the person's movements. Their technique appears consistent throughout the routine.

Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is standing in front of a black curtain with white dots on it, facing away from the camera. They appear to be moving their arms and hands in various positions, possibly practicing a dance routine or some other form of movement. The person is wearing a watch on their left wrist.

Errors: There are no apparent errors in the person's movement. Their actions seem deliberate and purposeful, suggesting they are focused on their task.

Skill Level: Intermediate Expert",Intermediate Expert,True
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is standing in front of a backdrop, facing the camera. They are wearing sunglasses and a black jacket. Their arms are relaxed at their sides, and they appear to be preparing for a dance routine.

Errors: There are no visible errors in the person's movement. They seem to be following a choreographed routine with confidence and precision.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in front of a black curtain with white dots on it, holding a camera on a tripod. They appear to be adjusting the camera settings or preparing to take a photo. There are other people in the background, some of whom are also holding cameras. The setting appears to be indoors, possibly at an event or gathering.

Errors: The person's movements are not particularly dynamic or expressive, suggesting they may be a novice or early expert in photography. There are no obvious errors in their technique, but their focus seems to be more on the technical aspects of the camera rather than capturing a creative or artistic image.

Skill Level: Novice / Early Expert",Early Expert,False
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing, moving their arms and legs rhythmically to the music. They appear to be enjoying themselves and are engaged in the activity.

Errors: There are no significant errors in the person's movement. Their dance steps seem to be well-coordinated and fluid.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in a room with a wooden floor, a white wall, and a table with a camera on it. They are wearing a plaid shirt and black pants. They are holding a phone in their right hand and are looking at it. They are also wearing a watch on their left wrist. There is another person in the room who is sitting on a couch and is also looking at a phone.",Unknown,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is performing a dance routine with fluid movements, transitioning between various poses and steps. They maintain a strong posture and exhibit control over their movements, indicating a high level of skill and practice.

Errors: There are no noticeable errors or imprecisions in the person's movements. Their technique appears to be precise and well-coordinated throughout the routine.

Skill Level: Late Expert",Late Expert,True,"Observations: The person is standing in a room with a camera on a tripod. They are moving their arms and hands, possibly adjusting the camera or preparing to take a picture. There are black curtains hanging on the wall behind them.

Errors: The person's movements appear to be slow and deliberate, suggesting they may not be very experienced with the camera or the task at hand.

Skill Level: Novice",Novice,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is performing a dance routine in a studio setting. They are wearing a blue jacket, black pants, and sunglasses. Their movements are fluid and coordinated, suggesting they have some experience with dance. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms at various points.

Errors: There are no significant errors in the person's movements. Their technique appears to be well-executed, and they maintain good posture throughout the routine.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in front of a black curtain with white dots on it, holding a camera and taking pictures. They are wearing a blue shirt and black pants. There are other people in the background, some sitting and some standing. The person appears to be focused on their task and is moving the camera around to take different shots.

Errors: The person may not be using the camera effectively, as they are not adjusting the settings or framing the shots properly. They could also be moving too quickly or not paying attention to the details of the scene.

Skill Level: Novice",Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is standing in front of a backdrop, facing the camera. They appear to be preparing for a dance routine or a similar performance. Their body language suggests they are focused and ready to begin.

Errors: There are no apparent errors in the person's movement. They seem to be following a routine or following instructions, which indicates that they are likely familiar with the steps involved.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in a room with a black curtain and a tripod. They are wearing a black shirt and blue jeans. They are looking at the camera and making hand gestures. There are other people in the background, but they are not the focus of the video. The person appears to be speaking or explaining something. The room has a white floor and a white ceiling. There is a speaker on the wall. The person is standing still and not moving around the room. The video is shot from a first-person perspective, so the person is the only one visible in the frame.

Errors: The person is not performing any specific activity that requires skill or technique. They are simply standing in the room and making hand gestures while speaking. There are no errors in their movement.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is performing a dance routine, moving his arms and legs in a rhythmic manner. He appears to be practicing a specific sequence of steps, possibly a choreographed dance move. His movements are fluid and coordinated, indicating a certain level of skill and familiarity with the routine.

Errors: There are no significant errors or imprecisions in the person's movement. His steps are well-timed and executed with precision, suggesting that he has practiced this routine multiple times before.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is standing in a room with black curtains hanging on the wall. They are wearing a watch on their left wrist. The person is looking at the camera and appears to be speaking. The person is moving their right hand up and down, possibly gesturing while talking. The person is standing still for most of the video, but there is some slight movement of their feet and hands. The person is wearing a blue shirt and black pants. The room has a white floor and a white ceiling. There is a window on the right side of the room. The person is standing in front of the window. The person is looking at the camera and appears to be speaking. The person is moving their right hand up and down, possibly gesturing while talking. The person is standing still for most of the video, but there is some slight movement of their feet and hands. The person is wearing a blue shirt and black pants. The room has a white floor and a white ceiling. There is a window on the right side of the room. The person is standing in front of the window. The person is looking at the camera and appears to be speaking. The person is moving their right hand up and down, possibly gesturing while talking. The person is standing still for most of the video, but there is some slight movement of their feet and hands. The person is wearing a blue shirt and black pants. The room has a white floor and a white ceiling. There is a",Unknown,False
