clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
7c664266-3f75-4b9b-97be-7518ad82ac40,uniandes_bouldering_023_63,Novice,"Observations: A woman is climbing a rock wall. She is wearing a purple shirt and black shorts. She is using her hands to grip the holds on the wall.

Errors: The woman is not using proper climbing technique. She is not using her feet to push off the wall, which would help her climb higher.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with colorful handholds. They are using both hands to grip the handholds, and their feet are positioned on the wall for support. The person appears to be moving upwards, reaching for the next handhold.

Errors: The person's movements seem to be somewhat slow and deliberate, indicating that they may not be very experienced with this activity. There is also some hesitation when reaching for the next handhold, which could suggest that they are not confident in their technique.

Skill Level: Novice",Novice,True
434c1776-61b6-42cb-b101-5032260f1787,uniandes_bouldering_036_45,Late Expert,"Observations: A man is climbing a rock wall. He is wearing a black tank top and green pants. He is using his hands to grip the rocks on the wall.

Errors: The man is not using proper climbing techniques. He is not using his feet to push off the wall, which would help him climb higher. He is also not using his core muscles to stabilize himself on the wall.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with both hands on the holds. They are moving their hands up the wall.

Errors: The person is not using proper climbing technique, as they are not using their feet to push off the wall for support.

Skill Level: Novice",Novice,False
b3655a86-d9a1-439a-8dc8-8c3b5393a1a6,uniandes_bouldering_022_76,Early Expert,"Observations: A woman is climbing a rock wall. She is wearing a pink shirt and black shorts. She is using her hands to grip the rocks on the wall.

Errors: The woman is not using proper climbing techniques. She is not using her feet to push off the wall, which would help her climb higher.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with a variety of colorful holds. They are using both hands to grip the holds, and their feet are positioned on the wall for support. The person appears to be moving upwards, indicating that they are actively climbing.

Errors: There are no apparent errors in the person's movement. They are using proper climbing techniques, which suggests that they have some experience with the activity.

Skill Level: Intermediate Expert",Intermediate Expert,False
ba33b214-c9db-4d96-a734-28e69f31b4f8,uniandes_bouldering_035_23,Early Expert,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall, and they are moving their legs to maintain balance and push off the wall.

Errors: The person is not wearing any safety gear, such as a helmet or harness. This could be dangerous if they fall.

Skill Level: Novice",Novice,False,"Observations: The person is standing on a trampoline and pointing at a climbing wall with colorful holds. They are wearing sandals and have their arm extended towards the wall.

Errors: There are no apparent errors in the person's movement.

Skill Level: Novice",Novice,False
97b78075-0a0c-4198-bc78-b08a2c92b0aa,uniandes_bouldering_027_56,Novice,"Observations: The woman is climbing a rock wall. She is wearing a pink shirt and black pants. She is using her hands to grip the rocks on the wall.

Errors: The woman is not using proper climbing techniques. She is not using her feet to push off the wall, which can help her climb more efficiently.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are also on the wall. The person appears to be moving up the wall, but it is not clear how far they have climbed.

Errors: It is difficult to determine if there are any errors in the person's movement based on the given information. However, it is possible that the person may be struggling to maintain their balance or may be using incorrect techniques for gripping the holds.

Skill Level: Intermediate Expert",Intermediate Expert,False
f32e2abd-2a4c-425d-a953-ead1997ab98b,uniandes_bouldering_022_35,Early Expert,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall. Their feet are not visible, but they appear to be standing on the ground.

Errors: The person is not using proper climbing techniques. They are not using their legs to push off the wall, which can help them climb more efficiently. Additionally, they are not using their core muscles to stabilize themselves, which can lead to instability and potential falls.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful handholds. They are using both hands to grip the holds, and their feet are not visible in the image.

Errors: The person's hands are not positioned optimally for climbing. Their fingers are not wrapped around the holds, which can lead to a less secure grip and increased risk of falling.

Skill Level: Novice",Novice,False
6cc51836-6b79-4921-9024-d351486ad88c,uniandes_bouldering_033_55,Intermediate Expert,"Observations: A man is climbing a wall. He is wearing a blue shirt and black shorts. He is using his hands to grip the wall and his feet to push off the wall. He is moving up the wall.

Errors: The man is not using proper climbing techniques. He is not using his legs effectively to push himself up the wall. He is also not using his core muscles to stabilize his body.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall. They are using their hands to grip the holds on the wall.

Errors: The person is not wearing any safety gear, such as a helmet or harness. This could be dangerous if they fall.

Skill Level: Novice",Novice,False
9220bcc5-91a0-4c2e-b9c5-d58baa3f8c84,uniandes_bouldering_023_64,Novice,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall, and their feet are positioned on the wall as well. They appear to be moving upwards.

Errors: The person is not using proper climbing technique. They are not using their legs effectively to push themselves up the wall, and they are not using their core muscles to stabilize their body.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are not visible in the image.

Errors: The person is not wearing climbing shoes, which can affect their grip and performance on the wall.

Skill Level: Novice",Novice,True
f29c34e6-0e17-49ee-983b-322e383e9db0,uniandes_bouldering_025_3,Intermediate Expert,"Observations: The woman is climbing a rock wall. She is wearing a black tank top and black shorts. She has long brown hair. She is using her hands to grip the rocks on the wall.

Errors: The woman is not moving her feet. She should be using her feet to push herself up the wall.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall. The person is holding onto the climbing holds with both hands.

Errors: The person is not using proper climbing technique. The person is not using their feet to climb.

Skill Level: Novice",Novice,False
2a1667d7-91a8-4a8d-8e73-c5b70dcc8f9f,uniandes_bouldering_026_108,Novice,"Observations: The woman is climbing a rock wall. She is wearing a tank top and leggings. She has long hair that is tied back. She is using her hands to grip the rocks on the wall.

Errors: The woman is not moving her feet. This could cause her to lose balance and fall.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with various colorful holds. They are using their hands to grip the holds and their feet to push off the wall. They are moving up the wall, reaching for different holds.

Errors: The person is not using proper climbing technique. They are not using their legs effectively to push themselves up the wall. They are also not using their core muscles to stabilize their body.

Skill Level: Novice",Novice,True
78fcb5cb-d902-4f73-8a9d-d277983102d0,uniandes_bouldering_028_55,Early Expert,"Observations: The girl is climbing the wall. She is holding onto the rock with her left hand and her right leg is on the rock. Her left leg is on the ground.

Errors: The girl is not moving her hands and legs properly to climb the wall.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are positioned on the wall for support. The person appears to be moving upwards, and their body is angled towards the wall.

Errors: The person's left hand is not gripping the hold firmly enough, which could lead to a loss of balance and potential injury. Additionally, the person's right foot is not positioned correctly, which could also cause instability.

Skill Level: Novice",Novice,False
ee8e8ec3-9926-44bd-bcae-96248b2c5475,uniandes_bouldering_030_63,Late Expert,"Observations: A man is climbing a rock wall. He is wearing a black tank top and black pants. He is using his hands to grip the rocks on the wall.

Errors: The man is not using his feet to climb the wall. He is not using his legs to push himself up the wall.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall. They are using their hands to grip the holds on the wall.

Errors: The person is not wearing any safety gear, such as a helmet or harness. This could be dangerous if they fall.

Skill Level: Novice",Novice,False
4809c7a1-362a-47f2-8e3c-9bfd0cd9ea3f,uniandes_bouldering_027_62,Novice,"Observations: The woman is climbing a rock wall. She is wearing a tank top and leggings. She has her hands on the wall and her feet are off the ground. She is looking up at the wall.

Errors: The woman is not using proper climbing techniques. She is not using her legs to push herself up the wall. She is not using her core muscles to stabilize herself.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are positioned on the wall for support. The person appears to be moving upwards, as indicated by the changing positions of their hands and feet.

Errors: The person's left hand is not gripping the hold as firmly as it could be, which may lead to a loss of balance if they need to use that hand for additional support. Additionally, the person's right foot is not fully engaged with the wall, which may also contribute to instability.

Skill Level: Intermediate Expert",Intermediate Expert,False
dd655638-41f1-4d56-aa13-ca50899a9faa,uniandes_bouldering_023_54,Early Expert,"Observations: The woman is climbing a rock wall. She is wearing a black tank top and black leggings. She is using her hands to grip the rocks on the wall and her feet to push herself up. She is looking up at the wall.

Errors: The woman is not using proper climbing techniques. She is not using her legs effectively to push herself up the wall. She is also not using her core muscles to stabilize herself.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are positioned on the wall. The person appears to be moving upwards.

Errors: The person's left hand is not gripping a hold, which could lead to instability.

Skill Level: Intermediate Expert",Intermediate Expert,False
83425972-08a3-47eb-8406-46e121bc2226,uniandes_bouldering_023_76,Intermediate Expert,"Observations: The woman is climbing a rock wall. She is wearing a blue tank top and black leggings. She is using her hands to grip the rocks on the wall.

Errors: The woman is not using proper climbing techniques. She is not using her feet to push off the wall, which can help her climb more efficiently. Additionally, she is not using her core muscles to stabilize herself, which can also help her climb more efficiently.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful holds. They are using their hands to grip the holds and their feet to push off the wall. They are moving up the wall, reaching for different holds.

Errors: The person is not wearing any safety gear, such as a helmet or harness. This could be dangerous if they fall.

Skill Level: Novice",Novice,False
000a19fe-776e-4c88-b0c3-2fad016a6025,uniandes_bouldering_028_7,Early Expert,"Observations: The woman is climbing a rock wall. She is using her hands to grip the holds on the wall and her feet to push off the wall. She is moving up the wall, one hand at a time.

Errors: The woman is not using proper climbing technique. She is not using her legs effectively to push herself up the wall. She is also not using her core muscles to stabilize her body.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall. Their feet are not visible, but they appear to be using them to push off the wall.

Errors: The person is not using proper climbing technique. They are not using their legs effectively to push themselves up the wall. They are also not using their core muscles to stabilize their body.

Skill Level: Novice",Novice,False
9ceee09a-ab19-4463-baac-0ed48d21827e,uniandes_bouldering_024_44,Novice,"Observations: The woman is climbing a rock wall. She is wearing an orange tank top and black pants. She is using her hands to grip the holds on the wall.

Errors: The woman is not using proper climbing techniques. She is not using her feet to push off the wall, which can help her climb more efficiently. She is also not using her core muscles to stabilize herself, which can lead to instability and potential falls.

Skill Level: Novice",Novice,True,"Observations: The person is climbing a wall with colorful handholds. They are using both hands to grip the handholds, and their feet are also on the wall. The person appears to be moving upwards.

Errors: There are no visible errors in the person's movement.

Skill Level: Intermediate Expert",Intermediate Expert,False
a6b13562-f2e4-4254-bc1c-9e7513a438c3,uniandes_bouldering_023_23,Early Expert,"Observations: A woman is climbing a rock wall. She is wearing a pink tank top and black shorts. She has long brown hair that is tied back. She is using her hands to grip the rocks on the wall.

Errors: The woman is not using proper climbing techniques. She is not using her feet to push off the wall, which would help her climb higher. She is also not using her core muscles to stabilize herself.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall. They are using both hands to grip the holds on the wall. Their feet are not visible, but they appear to be standing on the ground.

Errors: The person is not using proper climbing technique. They are not using their legs to push off the wall, which can help them climb more efficiently. Additionally, they are not using their core muscles to stabilize themselves on the wall.

Skill Level: Novice",Novice,False
e92fd3ee-10c6-4267-8966-6de86ab3384b,uniandes_bouldering_035_52,Early Expert,"Observations: The person is climbing the wall.

Errors: The person is not using proper climbing techniques, such as not keeping their feet on the wall and not using their hands to climb.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are positioned on the wall for support. The person appears to be moving upwards, and their arms are extended towards the top of the wall.

Errors: The person's left hand is not gripping a hold, which could lead to instability while climbing. Additionally, the person's right hand is not gripping a hold, which could also lead to instability.

Skill Level: Intermediate Expert",Intermediate Expert,False
1191d049-3780-452a-b91d-b04292726dc2,uniandes_bouldering_034_102,Early Expert,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall, and their feet are positioned on the wall as well. They appear to be moving upwards, and their body is angled towards the wall.

Errors: The person's left hand is not gripping the hold as tightly as it could be, which may cause them to lose balance or fall. Additionally, their right foot is not positioned correctly, which may also cause them to lose balance or fall.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall. Their feet are not visible, but they appear to be standing on the ground.

Errors: The person is not using proper climbing techniques. They are not using their legs for support and are relying too much on their arms. This can lead to fatigue and injury.

Skill Level: Novice",Novice,False
1c9fbdba-fa2f-44be-8548-bf436a802235,uniandes_bouldering_028_20,Intermediate Expert,"Observations: A woman is climbing a rock wall. She is wearing a white tank top and black pants. She is using her hands to grip the holds on the wall.

Errors: The woman is not using proper climbing technique. She is not using her feet to push off the wall, which would help her climb more efficiently.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful handholds. They are using both hands to grip the handholds, and their feet are not visible in the image.

Errors: The person's arms are not fully extended, which may make it difficult for them to maintain balance and control while climbing. Additionally, the person's hands are not gripping the handholds firmly enough, which could lead to a fall if they lose their grip.

Skill Level: Novice",Novice,False
13a12b1c-082d-4465-8b5b-8f9bfac2017f,uniandes_bouldering_036_76,Late Expert,"Observations: A woman is climbing a rock wall. She is wearing a tank top and shorts. She is using her hands to grip the holds on the wall.

Errors: The woman is not using proper climbing technique. She is not using her feet to push off the wall, which can help her climb more efficiently.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall. Their feet are not visible, but they appear to be using them to push off the wall.

Errors: The person's left hand is not gripping the hold as tightly as it could be. This may cause them to lose balance or fall.

Skill Level: Intermediate Expert",Intermediate Expert,False
00e60518-37eb-47ea-bc82-eefa572ffc8c,uniandes_bouldering_029_65,Intermediate Expert,"Observations: A woman is climbing a rock wall. She is wearing a white tank top and black pants. She has long hair that is tied back. She is using her hands to grip the rocks on the wall.

Errors: The woman is not moving her feet. This could cause her to lose balance and fall.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful holds. They are using both hands to grip the holds, and their feet are not visible in the image.

Errors: The person's left hand is not gripping a hold, which could lead to instability while climbing.

Skill Level: Novice",Novice,False
f8550663-34c3-47dc-961b-8f261e872aa6,uniandes_bouldering_035_70,Early Expert,"Observations: A man is standing on a climbing wall. He is wearing a black shirt and black shorts. He is holding a phone with a QR code on it.

Errors: The man is not using the phone to scan the QR code. He is just holding it up.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with a lot of colorful holds. They are wearing a harness and are using a rope to secure themselves. The person is moving their arms and legs to climb up the wall.

Errors: The person is not using proper climbing techniques, such as keeping their core engaged and using their legs for support. They are also not using the rope properly, which could lead to a fall.

Skill Level: Novice",Novice,False
a237c7f1-4189-4f28-9a7d-233a976976d6,uniandes_bouldering_036_47,Late Expert,"Observations: The person is climbing a rock wall. They are using both hands to grip the holds on the wall, and they are moving their legs to maintain balance and push off the wall.

Errors: The person is not using proper climbing techniques. They are not using their feet effectively to push off the wall, which can lead to instability and potential falls. Additionally, they are not using their core muscles to stabilize their body, which can also lead to instability.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a wall with colorful handholds. They are using both hands to grip the handholds, and their feet are not visible in the image.

Errors: The person may be struggling to maintain balance on the wall, as they are using both hands to grip the handholds. Additionally, it is unclear if the person is using proper climbing techniques, such as keeping their arms straight and using their core muscles for stability.

Skill Level: Novice",Novice,False
