clip_id,take_folder,ground_truth,exo_nframes,exo_answer,exo_predicted,exo_correct,ego_nframes,ego_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,206,"1. Movement quality: The person demonstrates moderate control and fluidity in their movements, though not exceptionally smooth. Their motions are generally efficient for the activity, with clear intentionality in their steps and arm movements, suggesting they are familiar with the task. However, there are moments where movements appear slightly rushed or less refined, indicating room for improvement in precision and rhythm.

2. Technique: The individual employs basic techniques appropriate for the activity, such as maintaining a central position and using arm movements in coordination with their steps. They appear to be following a structured pattern, likely guided by the device they are holding. While their technique is functional, it lacks the finesse and consistency seen in more advanced practitioners, suggesting they are still developing their form.

3. Confidence and control: The person displays a moderate level of confidence, as evidenced by their steady posture and consistent engagement with the activity. There are occasional hesitations, particularly when transitioning between movements or adjusting their stance, which indicates they are not yet fully comfortable or confident in their execution. Their body positioning is generally stable, but not always optimal, suggesting they are still learning to maintain balance and alignment.

4. Final verdict: Intermediate Expert",Intermediate Expert,True,206,"1. Movement quality: The person demonstrates controlled and fluid movement, transitioning smoothly between different areas of the room. Their steps are deliberate and efficient, indicating a clear understanding of spatial navigation. The movement appears purposeful, with no unnecessary motions, suggesting a high level of comfort and familiarity with the environment.

2. Technique: The individual employs proper technique for navigating a large, open space. They maintain a balanced posture and use their arms and legs in coordination to move efficiently. The use of hand gestures and body positioning suggests they are aware of their surroundings and are likely engaging in a task that requires spatial awareness and coordination.

3. Confidence and control: The person exhibits high confidence and stability throughout the activity. There are no visible hesitations or awkward movements, and their body positioning remains consistent and controlled. This indicates a strong sense of self-assurance and mastery over the physical demands of the task.

4. Final verdict: Late Expert",Late Expert,False
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,69,"1. Movement quality: The dancer exhibits moderate control and fluidity, with movements that are generally smooth but occasionally show slight stiffness or hesitation, particularly during transitions. The efficiency of movement is decent, with clear intention in each step and turn, though not always perfectly executed. There are moments where the flow is interrupted by minor adjustments or pauses.

2. Technique: The dancer uses basic dance techniques, including arm movements, turns, and footwork, but the execution lacks precision and consistency. The use of space is somewhat limited, and the dancer often returns to a central position rather than exploring the full area. The technique is not yet refined, with visible effort in some movements and a lack of seamless integration of elements.

3. Confidence and control: The dancer displays moderate confidence, often standing still or pausing to adjust posture or direction. There are moments of hesitation, especially when transitioning between movements or when initiating new sequences. Body positioning is generally stable, but the dancer occasionally leans or shifts weight in ways that suggest uncertainty or a need for balance.

4. Final verdict: Intermediate Expert",Intermediate Expert,False,69,"1. Movement quality: The person demonstrates moderate control and fluidity in their movements, transitioning between sitting, standing, and walking with a sense of purpose. However, some movements appear slightly uncoordinated or rushed, particularly when moving around the space or interacting with equipment, indicating a lack of refined efficiency.

2. Technique: The person uses basic techniques appropriate for navigating a studio environment, such as sitting on a chair, standing near equipment, and gesturing toward the camera. They occasionally interact with objects like a phone or tripod, but their actions are not consistently precise or methodical, suggesting they are not yet fully comfortable with the technical aspects of the activity.

3. Confidence and control: The person shows varying levels of confidence. They appear comfortable in some moments, such as when seated and smiling, but also exhibit hesitation or uncertainty during transitions or when moving around the space. Their body positioning is generally stable, but there are moments of slight instability, particularly when moving quickly or reaching out.

4. Final verdict: Novice",Novice,True
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,58,"1. Movement quality: The dancer exhibits good control and fluidity in her movements. She transitions smoothly between poses and steps, maintaining a consistent rhythm. Her movements are efficient, with minimal wasted motion, suggesting she is comfortable with the choreography and the space.

2. Technique: The dancer uses proper technique for dance, including balanced posture, controlled arm movements, and deliberate footwork. She utilizes the entire space effectively, demonstrating awareness of her positioning relative to the backdrop and the camera. Her use of arm gestures and body isolations indicates a strong understanding of dance form.

3. Confidence and control: The dancer displays high confidence and stability throughout the sequence. She maintains a poised stance and executes movements with precision, showing no hesitation or instability. Her body positioning is consistent and intentional, indicating a high level of comfort and mastery.

4. Final verdict: Late Expert",Late Expert,True,58,"1. Movement quality: The person's movements are generally fluid and controlled, with smooth transitions between different positions and gestures. They move efficiently through the space, often using their hand to point or gesture toward specific areas, indicating purposeful navigation. There is minimal wasted motion, and their movements appear deliberate and well-coordinated.

2. Technique: The person demonstrates technique appropriate for guiding or directing attention in a studio or performance space. They use hand gestures to indicate locations or objects, such as pointing at the backdrop or curtains, which suggests they are familiar with the environment and are likely communicating or directing others. Their use of the camera’s fisheye lens is also handled with awareness, as they adjust their position to capture different angles.

3. Confidence and control: The person displays a high level of confidence and control throughout the sequence. They maintain steady body positioning, often standing or moving with purpose. There is little hesitation in their movements, and they appear comfortable in the space, even when making quick gestures or turning to face different areas. Their gestures are clear and intentional, indicating a strong sense of spatial awareness and control.

4. Final verdict: Intermediate Expert",Intermediate Expert,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,55,"1. Movement quality: The person demonstrates moderate control and fluidity in their movements, transitioning between poses and steps with a degree of grace. However, some movements appear slightly stiff or mechanical, indicating a lack of complete natural flow. The efficiency of movement is decent, with clear intention in each step, but there are moments where the transitions could be smoother.

2. Technique: The person employs basic dance techniques, including arm movements, turns, and footwork, which are executed with a foundational understanding. They maintain a relatively upright posture and use their arms expressively, suggesting an awareness of stage presence. However, the technique lacks refinement, with some movements appearing unpolished or inconsistent in execution.

3. Confidence and control: The person displays a moderate level of confidence, maintaining a steady posture and engaging with the space. There are occasional moments of hesitation, particularly during transitions or when adjusting their stance. Their body positioning is generally stable, but not always optimal, indicating a developing sense of spatial awareness and balance.

4. Final verdict: Intermediate Expert",Intermediate Expert,True,55,"1. Movement quality: The person's movements are generally fluid and controlled, with smooth transitions between positions and actions. They move efficiently across the space, often using deliberate gestures and positioning themselves strategically. There is a clear sense of purpose in their motion, indicating a good understanding of spatial awareness and movement dynamics.

2. Technique: The person demonstrates a solid grasp of the technical aspects of the activity. They utilize the space effectively, positioning themselves relative to the equipment and backdrop. Their use of gestures and body positioning suggests they are familiar with the setup and are applying techniques that are appropriate for the context, such as pointing or gesturing towards specific areas.

3. Confidence and control: The person exhibits high confidence and stability throughout the activity. They maintain a steady posture and show no signs of hesitation or uncertainty. Their body positioning is deliberate and controlled, indicating a strong sense of self-assurance and mastery over their movements.

4. Final verdict: Late Expert",Late Expert,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,68,"1. Movement quality: The person demonstrates moderate control and fluidity in their movements, transitioning between poses and steps with a degree of grace. However, the movements are not consistently smooth or efficient, showing some pauses and slight awkwardness in transitions, indicating a developing level of coordination.

2. Technique: The individual employs basic dance or movement techniques, such as arm extensions, turns, and weight shifts. While the movements are recognizable as intentional and purposeful, they lack the precision, timing, and refined execution typical of more advanced practitioners. The use of space and body alignment is generally appropriate but not consistently optimal.

3. Confidence and control: The person appears to be moderately confident, maintaining a steady posture and engaging with the space. There are moments of hesitation, particularly during transitions and when initiating new movements, suggesting they are still building confidence. Their body positioning is mostly stable, but not always perfectly aligned or balanced, indicating a need for further refinement.

4. Final verdict: Intermediate Expert",Intermediate Expert,False,68,"1. Movement quality: The person's movements are generally smooth and controlled, with deliberate pacing. They navigate the space efficiently, often moving with purpose and maintaining a steady rhythm. There is minimal wasted motion, indicating a good sense of spatial awareness and coordination.

2. Technique: The person demonstrates appropriate technique for the activity, which appears to involve setting up or interacting with equipment (like tripods or lighting). They handle the equipment with care, adjust positions methodically, and maintain a consistent posture. Their movements suggest familiarity with the tools and environment.

3. Confidence and control: The person exhibits high confidence and stability. They move with assurance, rarely hesitating, and maintain a balanced body position throughout. Their interactions with the environment and equipment are precise, indicating comfort and control in the setting.

4. Final verdict: Late Expert",Late Expert,False
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,134,"1. Movement quality: The person demonstrates controlled and fluid movements, executing a variety of dance steps with apparent efficiency. Their transitions between movements are smooth, and they maintain a consistent rhythm, indicating a high level of coordination and physical command over the activity.

2. Technique: The individual employs specific dance techniques, including arm gestures, footwork, and body isolations that are characteristic of a choreographed routine. They utilize space effectively, moving across the floor with intention and precision, suggesting a strong understanding of spatial awareness and timing.

3. Confidence and control: The person exhibits high confidence and stability throughout the activity. They maintain balanced body positioning, rarely showing hesitation, and their movements are deliberate and expressive. Their posture remains upright and engaged, indicating comfort and mastery in the environment.

4. Final verdict: Late Expert",Late Expert,False,134,"1. Movement quality: The person demonstrates controlled and deliberate movements, often pausing to assess their surroundings or adjust equipment. Their movements are generally fluid, especially when transitioning between tasks, but occasionally show slight hesitations, particularly when interacting with unfamiliar equipment or adjusting camera settings. The efficiency of movement is moderate; while they navigate the space effectively, there are moments where they seem to be reorienting or checking their position, indicating a learning curve.

2. Technique: The person employs basic techniques appropriate for setting up or adjusting equipment, such as using tripods, handling cables, and positioning cameras. They appear to understand the purpose of the equipment but sometimes struggle with fine-tuning or optimal placement, suggesting they are still developing proficiency. Their technique is functional but not yet refined or highly efficient.

3. Confidence and control: The person displays a moderate level of confidence, often standing upright and maintaining a stable posture while working. However, there are moments of hesitation, particularly when handling complex equipment or making adjustments, which suggests they are not yet fully comfortable or confident in their abilities. Their body positioning is generally appropriate for the task, but they occasionally shift or adjust their stance, indicating a need for more stability and assurance.

4. Final verdict: Novice",Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,63,"1. Movement quality: The person demonstrates controlled and fluid movements, transitioning smoothly between different dance steps and poses. The motion appears efficient, with minimal wasted movement, suggesting a good understanding of spatial awareness and rhythm.

2. Technique: The individual employs specific dance techniques, including arm extensions, turns, and dynamic footwork. The use of body alignment and posture is consistent, indicating a solid grasp of the choreography and movement patterns required for this activity.

3. Confidence and control: The person maintains a steady and confident posture throughout the sequence, with no visible hesitation or instability. Body positioning is precise, and movements are executed with clear intention, reflecting a high level of comfort and mastery in the activity.

4. Final verdict: Late Expert",Late Expert,True,63,"1. Movement quality: The person demonstrates controlled and deliberate movements, often pausing to adjust their position or gesture. Movements are generally fluid, especially when transitioning between different areas of the room, but occasionally show slight hesitations or abrupt shifts, particularly when interacting with the camera or adjusting their posture. The efficiency of movement is moderate; while they navigate the space purposefully, there are moments of redundancy or unnecessary motion, such as repeated hand gestures or repositioning.

2. Technique: The person employs basic techniques appropriate for a filming or photography setup, such as positioning themselves relative to the camera, adjusting lighting, and gesturing toward specific areas. They use the tripod and camera equipment with a degree of familiarity, but their interactions are not always precise or optimized. There is an evident effort to frame shots or direct attention, but the technique lacks refinement and consistency.

3. Confidence and control: The person displays a moderate level of confidence, often maintaining a steady posture and making deliberate gestures. However, there are moments of hesitation, particularly when adjusting the camera or moving between positions. Their body positioning is generally stable, but occasionally shifts abruptly, suggesting a lack of full control or comfort with the environment. The person appears to be adapting to the space rather than commanding it.

4. Final verdict: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,66,"1. Movement quality: The dancer exhibits moderate control and fluidity, with movements that are generally smooth but occasionally show slight stiffness or hesitation. The transitions between poses and steps are not always seamless, indicating room for improvement in efficiency and flow. The dancer’s footwork is mostly accurate but lacks the precision and grace typical of higher skill levels.

2. Technique: The dancer demonstrates basic technique appropriate for the activity, including fundamental dance steps and arm movements. However, the execution lacks refinement, with some movements appearing rushed or unpolished. The dancer does not consistently utilize the full range of motion or spatial awareness expected of an advanced performer.

3. Confidence and control: The dancer shows moderate confidence, maintaining a steady posture for most of the routine. There are moments of hesitation, particularly when transitioning between movements or adjusting positioning. The dancer’s body positioning is generally stable, but there are instances where balance is slightly compromised, suggesting a need for greater core strength and spatial awareness.

4. Final verdict: Intermediate Expert",Intermediate Expert,False,66,"1. Movement quality: The person demonstrates controlled and deliberate movements, transitioning smoothly between standing, sitting, and gesturing. Their movements are efficient, with clear purpose in each action, such as adjusting equipment or interacting with others. There is no visible clumsiness or wasted motion.

2. Technique: The person uses appropriate technique for the context, which appears to be a photo or video shoot. They handle equipment (like a phone or camera) with care, position themselves thoughtfully for shots, and interact with others in a coordinated manner. Their gestures are purposeful, suggesting an understanding of how to direct or communicate within a production environment.

3. Confidence and control: The person displays high confidence and stability. They maintain steady body positioning, whether standing or sitting, and their gestures are deliberate and controlled. There is no hesitation or uncertainty in their actions, indicating comfort and familiarity with the environment and the task.

4. Final verdict: Intermediate Expert",Intermediate Expert,False
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,76,"1. Movement quality: The person demonstrates moderate control and fluidity in their movements. They transition between poses and steps with a degree of smoothness, though not with the precision or grace of a highly skilled performer. Movements are generally efficient for the context, but there are moments of slight awkwardness or hesitation, particularly when changing direction or initiating new movements.

2. Technique: The person employs basic techniques appropriate for a dance or movement session, such as stepping, arm extensions, and body turns. They use their arms expressively and maintain a relatively upright posture. However, their technique lacks refinement; movements are not consistently synchronized or executed with the precision and intentionality expected of an advanced practitioner.

3. Confidence and control: The person appears confident in their ability to perform, maintaining a steady stance and engaging with the space. They exhibit good body positioning, often standing with feet shoulder-width apart or in balanced poses. There is minimal hesitation, and they seem comfortable in the environment, suggesting a level of familiarity with the activity.

4. Final verdict: Intermediate Expert",Intermediate Expert,False,76,"1. Movement quality: The person's movements appear somewhat uncoordinated and hesitant, especially when navigating the space. There are frequent pauses and shifts in direction, indicating a lack of smooth, fluid motion. The transitions between different areas of the room are not efficient, suggesting the person is still learning to move purposefully within the environment.

2. Technique: The person is using basic techniques for navigating a space with obstacles, such as black curtains and tripods. However, their technique is not refined; they often stop to look around or adjust their position, rather than moving with a clear plan. The use of hand gestures to point or interact with the environment suggests they are still orienting themselves.

3. Confidence and control: The person shows signs of hesitation and uncertainty, particularly when moving toward or away from the black curtains and tripods. Their body positioning is often unstable, with frequent shifts in stance and posture. They appear to be carefully observing their surroundings, indicating a lack of confidence in their spatial awareness and control.

4. Final verdict: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,71,"1. Movement quality: The person demonstrates controlled and fluid movements, transitioning smoothly between poses and steps. Their motion appears efficient, with minimal wasted movement, suggesting a good understanding of spatial awareness and timing.

2. Technique: The individual employs specific dance techniques, including dynamic arm movements, precise footwork, and expressive body positioning. They utilize the space effectively, incorporating turns and leaps with apparent intention and rhythm, indicating a strong grasp of choreographic structure.

3. Confidence and control: The person maintains steady posture and balance throughout the sequence, showing confidence in their execution. There are no noticeable hesitations or instability, and their body positioning is intentional and expressive, enhancing the overall performance.

4. Verdict: Early Expert",Early Expert,True,71,"1. Movement quality: The person's movements appear somewhat uncoordinated and hesitant. There is a noticeable lack of fluidity, with abrupt changes in direction and posture. Movements are not efficient, often involving unnecessary shifts in position or repeated gestures. The person frequently looks down or at their hands, suggesting a lack of spatial awareness or confidence in their movements.

2. Technique: The person does not demonstrate any specific or refined technique. Movements are not purposeful or directed toward a clear goal. There is no evidence of practiced or controlled motions, and the person seems to be experimenting or reacting rather than executing a planned sequence. The use of space and body positioning is inconsistent.

3. Confidence and control: The person frequently hesitates, often pausing or looking down before moving. Their body positioning is unstable, with frequent shifts in stance and posture. There is a clear lack of confidence, as evidenced by the frequent hand gestures and the tendency to look at their hands or the floor rather than maintaining a steady gaze forward.

4. Final verdict: Novice",Novice,False
