clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is dancing in a room with a large number of chairs and a clock on the wall. They are wearing a white shirt and blue shorts. The person is moving their arms and legs in a coordinated manner, suggesting that they have some level of skill in dancing.
Errors: The person is not using their feet to move, which is a common technique in dancing. They are also not using their hips and torso to move, which is another essential aspect of dancing.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a large number of chairs and a dining table. They are wearing a white shirt and shorts, and their body position is upright with their arms and legs moving in a coordinated manner.
Errors: The person's movements are not perfectly synchronized with the music, and they are not using the full range of their body to express the dance.
Skill Level: Novice",Novice,False
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The person is dancing in a room with a black background. They are wearing a blue jacket and black pants. They are moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized with the music, indicating that they may not be an expert dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black background. They are wearing a red shirt and are moving their arms and legs in a coordinated manner. The dancer appears to be in sync with the music.
Errors: The dancer's movements are not perfectly synchronized with the music, and there are some moments where they are not in the right position.
Skill Level: Intermediate Expert",Intermediate Expert,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is dancing in a room with a red wall and a white floor. They are wearing black pants and a black tank top. They are moving their arms and legs in a coordinated manner, suggesting that they are skilled in their dance technique.
Errors: The person's feet are not in sync with their body movements, which could indicate a lack of proper footwork or a lack of experience in dancing.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a black background. They are wearing a black shirt and white pants. The dancer is moving their arms and legs in a coordinated manner, suggesting a good level of skill.
Errors: The dancer's movements are not perfectly synchronized, indicating that they may be a novice or early expert dancer.
Skill Level: Novice",Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The person is dancing in a room with a white wall and a window. They are wearing black pants and a white shirt. They are holding a camera and a microphone. The person is moving their arms and legs in a coordinated manner, suggesting that they are skilled in their dance technique.
Errors: The person is not using their feet to move, which is a common technique in dance.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is dancing in a room with black curtains. They are wearing a black dress and have their arms outstretched. The dancer's technique is precise and well-executed, with fluid movements and a strong sense of rhythm.
Errors: There are no noticeable errors in the dancer's technique or form.
Skill Level: Late Expert",Late Expert,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is dancing in a room with a large sign on the wall. They are wearing a black shirt and blue jeans. They are moving their arms and legs in a coordinated manner, suggesting that they have some level of skill in dancing.
Errors: The person's movements are not perfectly synchronized with the music, indicating that they may not be an expert dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black background. They are wearing a white shirt and black pants. The dancer is moving their arms and legs in a coordinated manner, suggesting a good level of skill.
Errors: The dancer's movements are not perfectly synchronized, indicating that they may be a novice or early expert dancer.
Skill Level: Novice",Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a wooden floor. They are wearing a plaid shirt and jeans. They are moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a wooden floor and a white couch. They are wearing a blue shirt and white pants. The dancer is moving their arms and legs in a coordinated manner, displaying a good sense of rhythm and timing.
Errors: The dancer's feet are not in sync with their body movements, which could be improved.
Skill Level: Intermediate Expert",Intermediate Expert,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is dancing in a room with a white floor and a red wall. They are wearing black pants and a black tank top. They are moving their arms and legs in a coordinated manner, suggesting a good level of skill and experience in dancing.
Errors: The person's feet are not in sync with their body movements, which could indicate a lack of proper technique or a beginner's mistake.
Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a red wall and a window. They are wearing a black dress and are performing a dance routine. The person's body position is well-balanced, and they are using their arms and legs to move in a coordinated manner.
Errors: The person's movements are not perfectly synchronized, and there are some moments where they lose balance or stumble.
Skill Level: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is dancing in a room with a red light on the floor. They are wearing black pants and a blue shirt. They are moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person is not using their feet to move, which is a common technique in dancing. Instead, they are using their arms and legs to move, which may not be as efficient or graceful as using their feet.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black background. They are wearing a red shirt and are holding a microphone. The dancer is moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience.
Errors: The dancer's movements are not perfectly synchronized with the music, indicating a lack of precision in their technique.
Skill Level: Intermediate Expert",Intermediate Expert,False
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a room with a large sign on the wall. They are wearing blue jeans and a black jacket. They are moving their arms and legs in a coordinated manner, suggesting that they have some level of skill in dancing.
Errors: The person's movements are not perfectly synchronized with the music, indicating that they may not be an expert dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with black curtains. They are wearing a blue shirt and black pants. The dancer is moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience.
Errors: The dancer's movements are not perfectly synchronized, indicating that they may be a novice or early expert dancer.
Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is dancing in a room with a white floor and a window. They are wearing a blue shirt and black pants. They are moving their arms and legs in a coordinated manner, suggesting that they are skilled in dancing.
Errors: The person is not wearing shoes, which could affect their stability and movement.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is dancing in a room with black curtains. They are wearing a black shirt and black pants. The person is moving their arms and legs in a coordinated manner, suggesting a certain level of skill and experience in dancing.
Errors: The person's movements are not perfectly synchronized, indicating that they may be a beginner or intermediate dancer.
Skill Level: Intermediate Expert",Intermediate Expert,False
