clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
586597cc-59c5-45d5-9596-0b6506d9c0ba,uniandes_bouldering_037_38,Late Expert,"Observations: The person is hanging from a rock climbing wall, with their feet off the ground. They are using their arms to maintain balance and control their movement. The person's body position is stable, and they are using proper technique to climb the wall.
Errors: There are no apparent errors in the person's movement.
Skill Level: Late Expert",Late Expert,True,"Observations: The person is climbing a rock wall, using their hands to grip the rocks and their feet to maintain balance. They are wearing a harness and using a rope to secure their ascent.
Errors: The person's feet are not positioned correctly on the rock, which could lead to a loss of balance and increase the risk of falling.
Skill Level: Novice",Novice,False
9ceee09a-ab19-4463-baac-0ed48d21827e,uniandes_bouldering_024_44,Novice,"Observations: The person is climbing a rock wall with a focus on their hands and feet. They are using their arms and legs to maintain balance and control while moving up the wall. The person appears to be in a comfortable and steady position.
Errors: There are no apparent errors in the person's technique or body position.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall with their hands, using their feet to maintain balance. They are wearing a helmet for safety.
Errors: The person is not using a rope to secure their ascent, which could be a safety concern.
Skill Level: Novice",Novice,True
08f0616c-d3c4-414c-a492-d8d157872915,uniandes_bouldering_035_53,Early Expert,"Observations: The person is climbing a rock wall, with their feet on the wall and their hands on the wall. They are using their body to balance and maintain their position.
Errors: The person is not using a rope or harness to secure their ascent, which could be a safety concern.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall, using their hands to grip the rocks and their feet to maintain balance. They are wearing a helmet for safety.
Errors: The person's feet are not positioned correctly, as they are not on the rock wall.
Skill Level: Novice",Novice,False
5f1dd7a9-18b5-400a-a3de-1c30f547235e,uniandes_bouldering_027_19,Early Expert,"Observations: The person is hanging from a rock climbing wall, with their feet on the wall and their hands on the wall. They are using their arms to pull themselves up the wall.
Errors: The person is not using their legs to climb the wall, which is a common technique in rock climbing.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall with their feet on the wall and their hands on the rock. They are using their body weight to pull themselves up the wall.
Errors: The person is not using their feet to climb the wall, which is a common technique for rock climbing.
Skill Level: Novice",Novice,False
baf283a8-4747-45f1-9c78-241003a8f1b5,uniandes_bouldering_034_56,Intermediate Expert,"Observations: The person is hanging from a rock climbing wall, with their feet on the wall and their body positioned in a way that allows them to climb upwards. They are using their arms to pull themselves up the wall.
Errors: The person's feet are not positioned correctly on the wall, which could make it difficult for them to maintain balance and control while climbing.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall with their feet on the wall and their hands on the rock. They are using their body weight to pull themselves up the wall.
Errors: The person is not using their feet to climb the wall, which is a common technique for rock climbing.
Skill Level: Novice",Novice,False
ea2d7015-0bf2-422c-b6ac-ebcf88fef619,uniandes_bouldering_025_13,Novice,"Observations: The person is climbing a rock wall, using their hands to grip the rocks and their feet to maintain balance. They are wearing a helmet for safety.
Errors: The person is not using a rope to secure their ascent, which could be a safety concern.
Skill Level: Novice",Novice,True,"Observations: The person is holding onto a rock climbing wall with their right hand, and their left hand is positioned on the wall. They are wearing a red shirt and appear to be in a gym.
Errors: The person's left hand is not positioned correctly on the wall, as it is not in the correct position for rock climbing.
Skill Level: Novice",Novice,True
0dd0e0b5-cbd2-42d3-bc00-64375f14f374,uniandes_bouldering_032_81,Intermediate Expert,"Observations: The person is climbing a rock wall with their hands and feet, using their body to balance and maintain their position. They are wearing a helmet for safety.
Errors: The person is not using a rope to secure their ascent, which could be a safety concern.
Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is holding onto a rock climbing wall with both hands, and their body is positioned in a way that suggests they are in the process of climbing. They are likely using their arms and legs to maintain balance and control while ascending the wall.
Errors: There are no apparent errors in the person's movement.
Skill Level: Intermediate Expert",Intermediate Expert,True
1088fd1c-1562-4ee5-b85c-ceb59bf85f20,uniandes_bouldering_035_28,Early Expert,"Observations: The person is performing a climbing activity, with their body positioned in a way that allows them to reach the top of the wall. They are using their arms and legs to maintain balance and control while climbing.
Errors: There are no apparent errors in the person's technique.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is holding a rock climbing grip and is in the process of climbing a rock wall. They are using their arms to pull themselves up the wall.
Errors: The person is not using their legs to climb the wall, which is a common mistake in rock climbing.
Skill Level: Novice",Novice,False
1c4f1db1-70bb-47e6-8d1f-00e924aa0a98,uniandes_bouldering_033_38,Intermediate Expert,"Observations: The person is performing a climbing activity, with their body positioned in a way that allows them to reach the top of the wall. They are using their arms and legs to maintain balance and control while climbing.
Errors: There are no apparent errors in the person's technique.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is holding onto a rock climbing wall with their right hand, and their left hand is positioned on the wall. They are wearing a yellow shirt and appear to be in a dark room.
Errors: The person's left hand is not positioned correctly on the wall, as it is not in the correct position for rock climbing.
Skill Level: Novice",Novice,False
b92ec0ad-020b-4fed-87bf-002eaaa9a8ec,uniandes_bouldering_022_26,Late Expert,"Observations: The person is climbing a rock wall with a rope, using their hands and feet to maintain balance and control. They are wearing a blue shirt and black pants, and their body position is focused on the task at hand.
Errors: The person's feet are not positioned correctly on the rock wall, which could lead to a loss of balance and control.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall with their feet on the wall and their hands on the rock. They are using their body weight to pull themselves up the wall.
Errors: The person is not using their feet to climb the wall, which is a common technique for rock climbing.
Skill Level: Novice",Novice,False
d6462a6d-44d4-43eb-a0d9-11df808ef412,uniandes_bouldering_034_94,Early Expert,"Observations: The person is climbing a rock wall with a focus on their hands and feet. They are using their arms and legs to maintain balance and control while moving up the wall. The person appears to be in a comfortable and steady position.
Errors: There are no apparent errors in the person's movement.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall with their hands, using their fingers to grip the rocks. They are wearing a green shirt and appear to be in good physical shape. The climbing wall is made of various colored rocks, and the person is moving upwards.
Errors: The person's technique seems to be a bit awkward, as they are not using their feet to climb the wall. They are also not using any safety equipment, such as a harness or rope.
Skill Level: Novice",Novice,False
b3a28e5b-906f-40e0-9428-902c81a9cc55,uniandes_bouldering_027_20,Early Expert,"Observations: The person is hanging from a rock climbing wall, with their feet on the wall and their hands on the wall. They are using their arms to pull themselves up the wall.
Errors: The person is not using their legs to climb the wall, which is a common technique in rock climbing.
Skill Level: Novice",Novice,False,"Observations: The person is holding onto a rock climbing wall with their hands, and they are in the process of climbing. They are using their arms to pull themselves up the wall.
Errors: The person's technique is not very precise, and they are not using their legs to climb.
Skill Level: Novice",Novice,False
b285942a-a30b-4d4b-a753-8a29b951c1cb,uniandes_bouldering_026_48,Intermediate Expert,"Observations: The person is hanging from a rock climbing wall, with their feet on the wall and their hands on the wall. They are using their arms to pull themselves up the wall.
Errors: The person is not using their legs to climb the wall, which is a common technique in rock climbing.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall with their hands, using their fingers to grip the rock. They are wearing a wristband and have a tattoo on their arm. The person is in a crouched position, with their feet on the ground.
Errors: The person's feet are not positioned correctly on the ground, which could affect their balance and stability while climbing.
Skill Level: Novice",Novice,False
0a184bbf-43bf-4d02-bc32-f8989158446a,uniandes_bouldering_023_42,Novice,"Observations: The person is climbing a rock wall with their hands and feet, using their body to balance and maintain their position. They are wearing a black shirt and black pants.
Errors: The person is not using a rope or harness to secure their ascent, which could be a safety concern.
Skill Level: Early Expert",Early Expert,False,"Observations: The person is climbing a rock wall, using their hands to grip the wall and their feet to maintain balance. They are wearing a harness and using a rope to secure their ascent.
Errors: The person's feet are not positioned correctly on the wall, which could lead to a loss of balance and increased risk of falling.
Skill Level: Novice",Novice,True
0ed9a2ce-0e62-43f9-a7e1-37e5a0b89fcc,uniandes_bouldering_033_60,Intermediate Expert,"Observations: The person is performing a climbing activity, with their body positioned on a rock wall. They are using their hands to grip the wall and their feet to maintain balance. The person appears to be in a comfortable and controlled position.
Errors: There are no apparent errors in the person's movement.
Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is climbing a rock wall, using their hands and feet to grip and balance. They are wearing a harness and using a rope to secure their ascent. The person is also wearing a helmet for safety.
Errors: The person is not using a proper climbing technique, such as the ""foot-lock"" or ""jug"" technique, which would allow them to climb more efficiently.
Skill Level: Novice",Novice,False
97b78075-0a0c-4198-bc78-b08a2c92b0aa,uniandes_bouldering_027_56,Novice,"Observations: The person is climbing a rock wall with a focus on their hands and feet. They are using their arms and legs to maintain balance and control while moving up the wall. The person appears to be in a comfortable and confident position.
Errors: There are no apparent errors in the person's movement.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is performing a rock climbing activity, with their feet positioned on a rock climbing wall. They are using their hands to hold onto the wall and are in the process of climbing up.
Errors: The person's feet are not positioned correctly on the rock climbing wall, which could lead to a loss of balance and difficulty in climbing.
Skill Level: Novice",Novice,True
c6e1946e-cd52-43ee-ac5c-acb609d821d6,uniandes_bouldering_035_98,Early Expert,"Observations: The person is climbing a rock wall, using their hands and feet to maintain balance and control. They are wearing a black shirt and black pants, and their body position is focused on the task at hand.
Errors: The person's feet are not positioned correctly on the rock wall, which could lead to a loss of balance and control.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall with their hands, using their feet to maintain balance. They are wearing a black shirt and appear to be in a gym. The climbing wall is colorful and has various shapes and sizes.
Errors: The person's feet are not positioned correctly, which could lead to a loss of balance and increase the risk of falling.
Skill Level: Novice",Novice,False
5d5d169f-3cfa-47da-947d-ec7a93178a59,uniandes_bouldering_029_41,Novice,"Observations: The person is climbing a rock wall with their hands and feet, using their body to balance and maintain their position. They are wearing a helmet for safety.
Errors: The person is not using a rope to secure their ascent, which could be a safety concern.
Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall, using their hands to grip the rocks and their feet to maintain balance. They are wearing a harness and using a rope to secure their ascent.
Errors: The person is not using their feet to maintain balance, which could lead to a loss of control and increase the risk of falling.
Skill Level: Novice",Novice,True
48c635f3-ef0c-436b-94dc-9fca68c779b7,uniandes_bouldering_034_98,Early Expert,"Observations: The person is performing a climbing activity on a rock wall. They are using their arms and legs to maintain balance and control while climbing. The person is wearing a black shirt and blue shorts.
Errors: The person is not using a rope to secure their climb, which could be a safety concern.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is climbing a rock wall with their hands, using their feet to maintain balance. They are wearing a harness and using a rope to secure their ascent. The person is moving up the wall with a steady pace, and their body position is well-aligned with the rock.
Errors: There are no apparent errors in the person's movement.
Skill Level: Late Expert",Late Expert,False
841c5354-3711-45ce-a226-3d7ba0e6b3df,uniandes_bouldering_030_60,Late Expert,"Observations: The person is hanging from a rock climbing wall, with their feet on the wall and their body positioned in a way that allows them to climb upwards. They are using their arms to maintain balance and control their movement.
Errors: The person's feet are not positioned correctly on the wall, which could lead to instability and difficulty in climbing.
Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall, using their hands to grip the wall and their feet to maintain balance. They are wearing a harness and using a rope to secure their ascent.
Errors: The person is not using their feet to maintain balance, which could lead to a loss of control and increased risk of falling.
Skill Level: Novice",Novice,False
7cef5f7e-d66d-4b23-b832-ff998d357784,uniandes_bouldering_023_71,Early Expert,"Observations: The person is climbing a rock wall with a rope, using their hands and feet to grip and balance. They are wearing a harness and helmet for safety. The climber is focused on the task at hand, and their body position is well-coordinated.
Errors: There are no apparent errors in the climber's technique or movement.
Skill Level: Late Expert",Late Expert,False,"Observations: The person is climbing a rock wall with their hands and feet, using their body to balance and maintain their position. They are wearing a helmet for safety.
Errors: The person is not using a rope to secure their ascent, which could be a safety concern.
Skill Level: Novice",Novice,False
