clip_id,ground_truth,answer,predicted,correct
Suturing_B001,Novice,Novice,Novice,True
Suturing_B002,Novice,Novice,Novice,True
Suturing_B003,Novice,Novice,Novice,True
Suturing_B004,Novice,Novice,Novice,True
Suturing_B005,Novice,Novice,Novice,True
Suturing_D001,Expert,Novice,Novice,False
Suturing_D002,Expert,Novice,Novice,False
Suturing_D003,Expert,Novice,Novice,False
Suturing_D004,Expert,Novice,Novice,False
Suturing_D005,Expert,Novice,Novice,False
Suturing_E001,Expert,Novice,Novice,False
Suturing_E002,Expert,Novice,Novice,False
Suturing_E003,Expert,Novice,Novice,False
Suturing_E004,Expert,Novice,Novice,False
Suturing_E005,Expert,Novice,Novice,False
Suturing_G001,Novice,Novice,Novice,True
Suturing_G002,Novice,Novice,Novice,True
Suturing_G003,Novice,Novice,Novice,True
Suturing_G004,Novice,Novice,Novice,True
Suturing_G005,Novice,Novice,Novice,True
Suturing_H001,Novice,Novice,Novice,True
Suturing_H003,Novice,Novice,Novice,True
Suturing_H004,Novice,Novice,Novice,True
Suturing_H005,Novice,Novice,Novice,True
Suturing_I001,Novice,Novice,Novice,True
Suturing_I002,Novice,Novice,Novice,True
Suturing_I003,Novice,Novice,Novice,True
Suturing_I004,Novice,Novice,Novice,True
Suturing_I005,Novice,Novice,Novice,True
