clip_id,take_folder,ground_truth,answer,predicted,correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is performing a standard golf swing. They start by setting up their stance with their feet shoulder-width apart, knees slightly bent, and hands positioned ahead of the ball. During the takeaway, they maintain a relatively straight lead arm. At the top of the backswing, there is a moderate amount of rotation in the torso. Throughout the downswing and follow-through, they maintain a stable spine angle and complete the motion by turning their hips toward the target, ending with the club over their shoulder.

Errors: There are a few noticeable technical flaws. First, the wrist hinge is inconsistent, which affects the path and face angle of the club. Second, the weight transfer is somewhat incomplete, as the lead foot does not fully bear the weight during the follow-through, which can lead to a loss of power and accuracy. Lastly, there is a slight ""casting"" motion at the start of the downswing, where the wrists unhinge too early, indicating a lack of lag in the swing sequence.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The individual is practicing choreography in a studio setting, utilizing hand gestures and rhythmic body movements. They frequently check their positioning relative to floor markers and the camera framing. The movement involves arm extensions, head turns to track progress or verify space, and steps to transition between different areas of the performance space. The style appears to be contemporary or hip-hop influenced, focusing on precision and spatial awareness.

Errors: There is a lack of fluidity and confidence in the transitions; the individual pauses frequently to re-orient themselves or consult the camera setup. The arm movements lack full extension and ""pop,"" appearing somewhat hesitant rather than deliberate. There is significant visual distraction caused by the constant self-correction and checking of the surrounding environment, which prevents a cohesive execution of the routine.

Skill Level: Novice",Novice,True
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is performing a series of turns and spins in what appears to be a dance studio. They utilize their arms for balance, keeping them engaged while executing the rotations. The footwork involves transitions from parallel or turned-out positions, focusing on maintaining a central axis during the spin. The dancer shows awareness of their spotting technique, attempting to maintain focus as they rotate. They frequently adjust their stance to realign with the center of the room.

Errors: The primary error is a lack of consistent core engagement, leading to a slight ""wobble"" or loss of balance upon landing the turns. The spotting technique is inconsistent; at times, the head is late to return to the focal point, causing the dizziness and slight instability seen after the rotations. The arm positions are somewhat fluid but occasionally break the aesthetic line, indicating a need for more tension and control in the extremities to stabilize the upper body during high-speed rotation.

Skill Level: Intermediate Expert",Intermediate Expert,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The performer is practicing rope dart technique, utilizing a first-person perspective (likely a head-mounted camera). The session focuses on basic circular swings, ""orbiting"" (spinning the dart around the body), and transition maneuvers. The performer demonstrates a rhythmic control of the rope's tension, maintaining consistent circular arcs while moving around the room. The body stance is generally athletic, with a slightly crouched posture to maintain balance while swinging, and the hands are kept active to guide the rope's momentum.

Errors: There is a notable lack of fluidity in the transitions between different types of swings. The performer experiences several ""dead spots"" where the rope loses momentum, causing the dart to sag or tangle slightly (specifically visible in the middle of the sequence). There are also issues with body tracking; the performer frequently loses alignment with the center of the rope's rotation, resulting in inconsistent circular planes. Additionally, the recovery movements when the dart deviates from its path are somewhat jerky rather than smooth corrections.

Skill Level: Intermediate Expert",Intermediate Expert,True
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is performing a camera scan or environment survey. They hold a 360-degree camera, extending their arm to capture the room's layout, including the black backdrop, the tripod setup, and the people sitting in the waiting area. They walk around the center of the room in a circular motion, keeping the camera relatively steady, and occasionally point the device toward specific features or lighting setups in the studio.

Errors: The movement is slightly jittery, common with handheld 360-degree footage. The transition between focusing on the studio backdrop and the group of people is somewhat abrupt, lacking the smooth panning technique used by professional videographers. There is no clear, rhythmic pace, and the camera height varies as the person walks, which could lead to disorienting footage for the viewer.

Skill Level: Novice",Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The practitioner is performing a classic sleight-of-hand coin vanish (French Drop). They hold the coin between the thumb and fingers of their left hand, then use their right hand to ""take"" the coin by inserting their thumb between the coin and the fingers, simulating a grab. The left hand then drops naturally to the side while the right hand moves away, concealing the coin in the left hand (finger palm). The practitioner repeats this action multiple times, occasionally showing the hands empty or repeating the drop motion.

Errors: The primary error is the ""flash"" of the coin; in several iterations, the coin is visible in the left hand as it drops to the side, or the finger palm is not deep enough, leading to unnatural hand tension. The ""take"" motion lacks consistency in timing; the transition from the left hand to the right hand is often rushed, making the hand movements appear jerky rather than fluid. There is also a lack of ""eye follow""—the practitioner fails to track the path of the ""taken"" coin with their gaze, which is essential to sell the illusion.

Skill Level: Novice",Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is executing a series of spins and movements in a room, demonstrating basic coordination. Their body position is generally upright, but their center of gravity is somewhat unstable during the rotations. The person uses their arms to maintain balance and momentum, frequently snapping their head to maintain focus, though the overall technique lacks fluidity and professional control. Their footwork is tentative, showing a lack of confidence in executing sharp pivots.

Errors: The primary error is a lack of proper spotting technique, leading to noticeable dizziness and imbalance after rotations. Additionally, the arm movements are erratic and not fully synchronized with the lower body, causing a loss of momentum. The posture is slightly hunched, preventing a clean vertical axis, and the foot placement is inconsistent, which affects the smoothness of the turns.

Skill Level: Novice",Novice,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The subject is practicing a dance or rhythmic movement routine in a studio space. The movement consists of circular rotations, stepping, and arm extensions, often involving orienting the body toward different sides of the room. The individual moves around a central point (marked by floor markers) and uses hand gestures to navigate or cue the performance. They switch focus between the group sitting at the side and the space in front of the black backdrop.

Errors: The movement lacks fluid transition between the different phases of the routine, showing frequent hesitations and moments of ""resetting."" The subject struggles with spatial awareness regarding their orientation; there is a lack of crispness in the stops and turns, and the coordination between the lower body (steps) and upper body (arm gestures) is disjointed. Several times, the subject looks confused about the intended direction, leading to choppy movement.

Skill Level: Novice",Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is practicing basic salsa footwork, specifically focusing on the basic step (forward and backward) and some transitions. They maintain a slightly bent knee posture. Their movements are rhythmic but show a high degree of stiffness in the torso and limited hip movement, which is essential for fluid Latin dance. They rely on visual cues from the surroundings and frequently pause to re-orient.

Errors: 
1. **Weight Transfer**: The weight distribution is inconsistent; the person tends to ""step"" rather than ""roll"" through the foot, which makes the movement appear flat-footed. 
2. **Posture**: There is excessive tension in the shoulders and a lack of core engagement, causing the upper body to remain rigid instead of counterbalancing the steps. 
3. **Synchronization**: The timing is slightly off-beat, indicating a struggle to internalize the rhythm of the music while focusing on the technical footwork.
4. **Arm Movement**: The hand/arm gestures are disconnected from the body's center of gravity and feel forced rather than natural extensions of the movement.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is performing a series of turns and spins, likely practicing for a dance or theatrical performance. They use their arms to initiate and control the momentum of their rotations. The body positioning remains relatively upright, with the arms held in various positions during the turns—sometimes extended, sometimes tucked. They are focusing on maintaining balance and control while moving through the space, specifically rotating towards the black curtain background.

Errors: The primary errors include inconsistent arm placement, which impacts the fluidity and speed of the turns. The core engagement seems intermittent, as evidenced by slight wobbles or loss of center during the exit of some spins. There is also a lack of consistent ""spotting"" (focusing the eyes on a fixed point), which leads to some dizziness and a slight loss of directional accuracy at the end of the movements. The footwork is sometimes heavy, indicating a need for better weight distribution and transition between steps.

Skill Level: Intermediate Expert",Intermediate Expert,False
