clip_id,take_folder,ground_truth,exo_nframes,exo_answer,exo_predicted,exo_correct,ego_nframes,ego_answer,ego_predicted,ego_correct
586597cc-59c5-45d5-9596-0b6506d9c0ba,uniandes_bouldering_037_38,Late Expert,88,"1. Movement quality: The climber demonstrates controlled and deliberate movements, transitioning smoothly between holds with purposeful footwork and hand placements. The motion is efficient, minimizing wasted energy and maintaining momentum as they ascend.

2. Technique: The climber employs proper climbing technique, including precise footwork to maintain balance and leverage, and effective use of body positioning to maximize reach and stability. They utilize dynamic movements when necessary, such as reaching for distant holds, and maintain a strong core to support their body weight.

3. Confidence and control: The climber exhibits high confidence, moving with assurance and without hesitation. Their body positioning is stable and well-balanced, indicating strong control over their movements. They maintain a focused posture, adjusting their stance and grip as needed to navigate the route.

4. Verdict: Intermediate Expert",Intermediate Expert,False,88,"1. Movement quality: The climber's movements are deliberate and controlled, showing a good understanding of body positioning and route-finding. There is a clear progression from lower to higher holds, indicating a strategic approach. The movements are not overly fluid but are efficient for the task, suggesting a focus on precision rather than speed.

2. Technique: The climber employs proper climbing technique, including using both hands and feet effectively to maintain balance and momentum. The use of footholds is precise, and the climber demonstrates good body positioning, often keeping the body close to the wall to maximize leverage. The climber also shows awareness of the wall's layout, selecting holds that provide the best grip and support.

3. Confidence and control: The climber appears confident and in control throughout the climb. There are no visible hesitations or moments of instability. The climber maintains a steady posture, with arms and legs positioned to support the body weight effectively. The climber's body positioning suggests a good understanding of balance and weight distribution.

4. Verdict: Intermediate Expert",Intermediate Expert,False
9ceee09a-ab19-4463-baac-0ed48d21827e,uniandes_bouldering_024_44,Novice,24,"1. Movement quality: The person demonstrates controlled and deliberate movements as they approach and begin to climb. Their initial steps are stable and intentional, showing awareness of their footing. As they ascend, their movements are efficient, with clear transitions between holds, indicating a good understanding of body positioning and momentum.

2. Technique: The climber employs proper climbing technique, including using their feet effectively to push off and maintain balance, and their hands to grip holds securely. They maintain a compact body position, keeping their center of gravity close to the wall, which is essential for efficient climbing. Their use of dynamic movements to reach for the next hold suggests an understanding of the physical demands of the climb.

3. Confidence and control: The person appears confident and in control throughout the sequence. They do not hesitate before starting the climb, and their body positioning remains stable even as they reach for higher holds. Their posture and focus indicate a high level of comfort and control, suggesting they are experienced in this activity.

4. Verdict: Intermediate Expert",Intermediate Expert,False,24,"1. Movement quality: The person's movements are deliberate and controlled, showing a clear focus on finding secure footholds and hand placements. The transitions between holds are not rushed, indicating a methodical approach to climbing. While not exceptionally fluid, the movements are efficient for the context, suggesting a strategic rather than purely instinctive climbing style.

2. Technique: The climber demonstrates good technique by actively using their feet for support and balance, which is crucial for maintaining body position and reducing unnecessary arm strain. They appear to be employing a dynamic climbing style, using their legs to push off and reach for higher holds, which is a sign of intermediate-level technique. The use of both hands and feet simultaneously indicates a solid understanding of body positioning and weight distribution.

3. Confidence and control: The climber exhibits a high degree of confidence and control throughout the sequence. There are no visible signs of hesitation or instability; their body positioning remains steady and balanced. The climber maintains a strong grip and secure footholds, suggesting they are comfortable with the difficulty level and have good proprioception. Their movements are deliberate and controlled, indicating a high level of confidence in their abilities.

4. Verdict: Intermediate Expert",Intermediate Expert,False
08f0616c-d3c4-414c-a492-d8d157872915,uniandes_bouldering_035_53,Early Expert,8,"1. Movement quality: The climber's movements are visibly uncoordinated and inefficient. They exhibit frequent, jerky motions, often appearing to flail or reach awkwardly rather than move with controlled precision. The transitions between holds are hesitant and lack fluidity, suggesting a struggle to maintain momentum and balance.

2. Technique: The climber is not employing proper climbing technique. They are not using their feet effectively to push off and support their body weight, which is evident from their frequent use of their hands for support and their tendency to lean heavily on the wall. Their body positioning is poor, with their hips and torso often not aligned for efficient movement, and they appear to be relying on brute strength rather than technique.

3. Confidence and control: The climber shows a significant lack of confidence and control. They frequently lose their grip or footing, resulting in falls or near-falls. Their body positioning is unstable, and they often appear to be bracing themselves against the wall rather than maintaining a balanced, controlled posture. The climber's hesitation is evident in their slow, deliberate movements and their frequent pauses to reposition themselves.

4. Verdict: Novice",Novice,False,8,"1. Movement quality: The movements appear deliberate and controlled, with a focus on reaching and gripping holds. The transitions between holds are not rushed, suggesting a methodical approach. The body positioning, particularly in the lower images, indicates an awareness of balance and weight distribution, though the movements are not yet fluid or highly efficient, which is expected for someone building foundational skills.

2. Technique: The climber demonstrates basic technique, including using both hands and feet effectively to maintain contact with the wall. The use of the feet for support and the hands for reaching are visible. The climber appears to be using a ""crimping"" or ""pinching"" grip on some holds, which is common for beginners. The body is kept close to the wall, which is a good technique for maintaining stability and conserving energy. However, the climber does not yet show advanced techniques like dynamic moves, footwork efficiency, or body positioning for advanced routes.

3. Confidence and control: The climber shows a good level of confidence, as evidenced by the ability to reach for holds and maintain balance. The body positioning is stable, and the climber does not appear to be hesitating or struggling with balance. The climber's focus is on the wall, indicating a good level of concentration. The climber's movements are controlled, and there is no evidence of panic or loss of control.

4. Final verdict: Intermediate Expert",Intermediate Expert,False
5f1dd7a9-18b5-400a-a3de-1c30f547235e,uniandes_bouldering_027_19,Early Expert,25,"1. Movement quality: The person's movements are deliberate and controlled, showing a focus on precision rather than speed. They exhibit good body positioning and use their arms effectively to reach holds, indicating a methodical approach to climbing. The transitions between holds are smooth, suggesting a good understanding of body mechanics and spatial awareness.

2. Technique: The climber demonstrates proper technique by using their legs for support and their arms for reaching, which is essential for efficient climbing. They maintain a stable base and use their core to stabilize their body, which is indicative of good climbing technique. The climber also appears to be using their feet effectively to push off and maintain balance.

3. Confidence and control: The person shows confidence in their ability to climb, as evidenced by their steady and controlled movements. They maintain a stable body position and do not appear to be hesitant or unstable. Their body positioning suggests they are comfortable with the climb and have a good sense of balance and control.

4. Final verdict: Intermediate Expert",Intermediate Expert,False,25,"1. Movement quality: The climber's movements are generally controlled and deliberate, showing a good understanding of how to position their body and limbs. There is a clear progression from lower to higher holds, indicating a strategic approach. While not perfectly fluid, the movements are efficient for the task, with minimal wasted motion as they transition between holds.

2. Technique: The climber demonstrates sound technique by using their hands and feet effectively to maintain balance and momentum. They utilize a variety of holds, including crimps and jugs, and appear to be managing their body weight and center of gravity appropriately. The use of both hands and feet in coordination suggests a solid grasp of the fundamentals of bouldering.

3. Confidence and control: The climber exhibits a high degree of confidence and control throughout the sequence. They maintain a stable body position, even when reaching for distant holds, and show no signs of hesitation or instability. Their body positioning is well-balanced, and they appear comfortable with the physical demands of the climb.

4. Verdict: Intermediate Expert",Intermediate Expert,False
baf283a8-4747-45f1-9c78-241003a8f1b5,uniandes_bouldering_034_56,Intermediate Expert,17,"1. Movement quality: The person's movements are uncoordinated and inefficient. They appear to be struggling to find stable footholds and handholds, resulting in awkward, jerky motions. Their body position is often unstable, and they frequently lose balance, indicating poor control and fluidity.

2. Technique: The climber is not using proper climbing technique. They are not maintaining a balanced body position, and their movements lack the precision needed for efficient climbing. They appear to be relying on brute force rather than technique, which is evident in their frequent falls and the need to sit down on the mat.

3. Confidence and control: The person shows a lack of confidence and control. They hesitate frequently, often stopping to reassess their position or the route. Their body positioning is unstable, and they frequently lose their balance, indicating a lack of control over their movements.

4. Verdict: Novice",Novice,False,17,"1. Movement quality: The climber's movements are deliberate and controlled, showing a clear focus on finding secure footholds and hand placements. The transitions between holds are generally smooth, indicating a good understanding of body positioning and momentum. There is a noticeable efficiency in movement, as the climber avoids unnecessary reaching or overextending, suggesting a practiced approach to route-finding.

2. Technique: The climber demonstrates sound bouldering technique, including effective use of both hands and feet to maintain balance and leverage. The use of the legs for support and pushing off is evident, which is a key element in efficient climbing. The climber also shows good body positioning, keeping the center of gravity low and using the wall for support, which indicates a solid grasp of fundamental climbing mechanics.

3. Confidence and control: The climber displays a high level of confidence, as evidenced by the ability to reach for holds with precision and maintain stability even when reaching for distant or challenging placements. There is minimal hesitation, and the climber's body positioning remains stable throughout the climb, suggesting a strong sense of control and spatial awareness.

4. Verdict: Intermediate Expert",Intermediate Expert,True
ea2d7015-0bf2-422c-b6ac-ebcf88fef619,uniandes_bouldering_025_13,Novice,33,"1. Movement quality: The person's movements are deliberate and controlled, showing a clear focus on each hand and foot placement. There is a noticeable fluidity in transitioning between holds, indicating a good understanding of body positioning and momentum. The efficiency of movement is evident as she moves upward with purpose, minimizing wasted motion.

2. Technique: The climber demonstrates proper technique by maintaining a wide stance for balance, using her legs effectively to push upward rather than relying solely on her arms. She employs dynamic movements, such as reaching and stepping, to progress efficiently. Her body positioning is optimized for each move, showing an understanding of leverage and weight distribution.

3. Confidence and control: The climber exhibits high confidence, as evidenced by her smooth transitions and lack of hesitation. She maintains stability throughout the climb, with controlled body positioning and consistent footwork. Her posture remains strong and balanced, indicating a high level of control and comfort with the activity.

4. Verdict: Intermediate Expert",Intermediate Expert,False,33,"1. Movement quality: The person's movements are generally controlled and deliberate, showing an understanding of how to position their hands and feet for stability. However, there are moments of hesitation and slight inefficiency, particularly when transitioning between holds or when the camera angle obscures full body positioning. The movements are not fluid or graceful, indicating a focus on safety and progression over style.

2. Technique: The climber demonstrates basic bouldering technique, including using both hands and feet effectively to maintain balance and progress. They utilize a variety of holds, including crimps, jugs, and slopers, and appear to be planning their next move. The use of a chalk bag (implied by the context) and the focus on secure footholds suggest an awareness of grip and friction. However, the technique is not yet refined or advanced, as evidenced by the occasional missteps and the need to reposition.

3. Confidence and control: The climber shows a moderate level of confidence, as they are able to complete several moves and maintain their position on the wall. However, there are moments of hesitation, particularly when reaching for distant holds or when the camera angle makes it difficult to see the full route. The body positioning is generally stable, with a focus on keeping the center of gravity low and using the wall for support. The climber does not appear to be overly confident or reckless, but rather cautious and methodical.

4. Verdict: Novice",Novice,True
0dd0e0b5-cbd2-42d3-bc00-64375f14f374,uniandes_bouldering_032_81,Intermediate Expert,16,"1. Movement quality: The person's movements are hesitant and lack fluidity. They appear to be struggling to find a consistent rhythm or efficient path up the wall. Their movements are not smooth or controlled, suggesting a lack of coordination and confidence in their approach.

2. Technique: The climber is not utilizing proper climbing technique. They are not maintaining a stable body position, and their footwork appears uncoordinated. They are not using their arms and legs effectively to generate power and maintain balance, which is essential for efficient climbing.

3. Confidence and control: The person shows a lack of confidence, as evidenced by their hesitation and the way they are frequently looking down or away from the wall. Their body positioning is unstable, and they appear to be struggling to maintain balance, which indicates a lack of control over their movements.

4. Verdict: Novice",Novice,False,16,"1. Movement quality: The person's movements are generally controlled and deliberate, showing an understanding of how to navigate the wall. However, there are moments of hesitation and slight inefficiency, particularly when transitioning between holds or when reaching for distant grips. The motion is not yet fluid or seamless, indicating a developing skill set.

2. Technique: The climber demonstrates basic technique by using their hands and feet effectively to maintain contact with the wall. They appear to be using a fundamental climbing strategy of reaching for the next hold and maintaining body position. However, they do not consistently employ advanced techniques such as dynamic moves, efficient footwork, or body positioning for balance and leverage, which are hallmarks of more experienced climbers.

3. Confidence and control: The climber shows a moderate level of confidence, as they are able to ascend the wall without falling. However, there are visible moments of hesitation, particularly when reaching for holds or when transitioning between different sections of the wall. Their body positioning is generally stable, but not always optimal, suggesting they are still learning to use their body efficiently to maintain balance and conserve energy.

4. Verdict: Novice",Novice,False
1088fd1c-1562-4ee5-b85c-ceb59bf85f20,uniandes_bouldering_035_28,Early Expert,69,"1. Movement quality: The person's movements are not fluid or efficient. They exhibit hesitation and awkwardness, particularly when transitioning from kneeling to beginning the climb. Their body positioning is unstable, and they appear to be struggling to maintain balance and control throughout the ascent. The movements are not smooth or coordinated, indicating a lack of refined motor skills.

2. Technique: The person is using basic climbing techniques, such as reaching for holds and pulling themselves up, but their technique is inconsistent and appears unrefined. They are not utilizing efficient body positioning or footwork, and their movements suggest a lack of understanding of proper climbing mechanics. The use of their arms and legs is not coordinated, and they seem to be relying on brute force rather than technique.

3. Confidence and control: The person shows a lack of confidence and control throughout the activity. They hesitate before starting the climb and appear uncertain about their next move. Their body positioning is unstable, and they frequently lose balance, indicating a lack of control. They also appear to be struggling to maintain their grip on the holds, suggesting a lack of confidence in their ability to complete the climb.

4. Verdict: Novice",Novice,False,69,"1. Movement quality: The climber's movements are deliberate and controlled, showing a clear focus on finding secure footholds and hand placements. There is a noticeable effort to maintain balance and avoid unnecessary swinging or overreaching, indicating a methodical approach to ascending. The transitions between holds are smooth, suggesting good body awareness and coordination.

2. Technique: The climber employs proper climbing technique, including efficient use of both hands and feet, maintaining a close body position to the wall to maximize friction and stability. The use of chalk is evident, indicating awareness of grip and friction management. The climber demonstrates good footwork, using precise placements to conserve energy and maintain balance, which is a hallmark of intermediate to advanced climbers.

3. Confidence and control: The climber exhibits high confidence and control throughout the sequence. There are no visible hesitations or moments of indecision; the climber moves with purpose and assurance. Body positioning is consistently stable, with the climber maintaining a strong, centered posture, which suggests a high level of comfort and experience with the activity.

4. Verdict: Intermediate Expert",Intermediate Expert,False
1c4f1db1-70bb-47e6-8d1f-00e924aa0a98,uniandes_bouldering_033_38,Intermediate Expert,60,"1. Movement quality: The climber demonstrates controlled and deliberate movements, transitioning smoothly between holds with good efficiency. There is a clear focus on maintaining balance and momentum, indicating a practiced approach to movement on the wall.

2. Technique: The climber employs proper bouldering technique, including efficient footwork, body positioning, and dynamic movements. They use their arms and legs in coordination to maintain stability and progress upward, showing an understanding of body tension and leverage.

3. Confidence and control: The climber displays high confidence, maintaining a stable and controlled body position throughout the climb. There are no visible hesitations or loss of balance, suggesting strong mental focus and physical control.

4. Verdict: Intermediate Expert",Intermediate Expert,True,60,"1. Movement quality: The climber's movements are generally controlled and deliberate, showing an understanding of how to position their body and limbs for efficient progress. However, there are moments of hesitation and visible effort, particularly when transitioning between holds or reaching for distant grips, indicating that movements are not yet fully fluid or effortless. The climber occasionally loses balance or shifts their weight awkwardly, suggesting a lack of refined movement efficiency.

2. Technique: The climber demonstrates basic bouldering technique, such as using both hands and feet effectively to maintain contact with the wall and plan routes. They occasionally use their legs to push up or reach for higher holds, which is a good sign of technique. However, there are instances where they rely too heavily on their arms, and their footwork is sometimes inconsistent or imprecise, indicating room for improvement in advanced techniques like dynamic moves or efficient foot placement.

3. Confidence and control: The climber shows a moderate level of confidence, often reaching for holds with purpose and maintaining a stable body position for extended periods. However, there are moments of hesitation, especially when attempting more challenging moves or when transitioning between holds. The climber sometimes appears to be searching for the next move, suggesting a lack of complete confidence in their route-finding or body positioning. Their body positioning is generally stable, but not always optimal, with occasional awkward postures that suggest they are still learning to balance and distribute weight effectively.

4. Verdict: Intermediate Expert",Intermediate Expert,True
b92ec0ad-020b-4fed-87bf-002eaaa9a8ec,uniandes_bouldering_022_26,Late Expert,17,"1. Movement quality: The climber's movements are deliberate and controlled, showing a focus on precision rather than speed. They exhibit good body positioning and efficient use of their limbs to reach holds, indicating a methodical approach to climbing. The transitions between holds are smooth, suggesting a good understanding of body mechanics.

2. Technique: The climber demonstrates proper technique by maintaining a stable base and using their legs effectively to push upward, rather than relying solely on their arms. They are seen using dynamic movements to reach higher holds, indicating an understanding of momentum and body positioning. The climber also appears to be using their core for stability, which is essential for efficient climbing.

3. Confidence and control: The climber shows confidence in their ability to navigate the wall, as evidenced by their willingness to reach for higher holds and their stable body positioning. They maintain control throughout the climb, with no visible hesitation or loss of balance. Their body positioning is consistent and well-balanced, indicating a high level of control.

4. Verdict: Intermediate Expert",Intermediate Expert,False,17,"1. Movement quality: The movement is characterized by a lack of fluidity and efficiency. The person frequently appears to be reaching or adjusting their position, suggesting they are not yet comfortable with the rhythm of climbing. The motion is often jerky and appears to be reactive rather than proactive, indicating a developing sense of body control and spatial awareness.

2. Technique: The climber is using basic techniques such as reaching for holds and shifting weight, but the execution is inconsistent. There is a noticeable lack of advanced techniques like dynamic moves, efficient footwork, or body positioning for balance. The use of the hands and feet appears somewhat tentative, and the climber often seems to be relying on brute force rather than technique to maintain contact with the wall.

3. Confidence and control: The climber demonstrates a moderate level of confidence, as they are able to ascend the wall and maintain contact with the holds. However, there are moments of hesitation, particularly when transitioning between holds or when reaching for distant grips. The body positioning is often unstable, with the climber appearing to lean or shift their weight awkwardly, suggesting a need for more refined control and balance.

4. Verdict: Novice",Novice,False
