clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is standing with his feet apart, arms bent at the elbows, and hands near his chest. He then raises his arms above his head, bending his knees slightly, and steps forward with his right foot. He then lowers his arms to his sides and steps back with his left foot.

Errors: The person's movements are not fluid and appear to be stiff. His arms do not move in a smooth arc, and his steps are not synchronized with his arm movements.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with desks, chairs, and a whiteboard. They are wearing a black shirt and gray shorts. Their arms are outstretched and they are moving their hips and legs in a rhythmic manner.

Errors: The person's movements are not very fluid and there are some awkward steps. They also seem to be struggling with maintaining balance at times.

Skill Level: Novice",Novice,False
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The woman is dancing in a studio with a backdrop that says ""Ileo."" She is wearing a blue jacket, black pants, and glasses. She is moving her arms and legs in a rhythmic manner, stepping side to side and raising her arms above her head at times.

Errors: The woman's movements appear to be somewhat stiff and lack fluidity. Her steps are not perfectly aligned, and she seems to be struggling to maintain a consistent rhythm. Additionally, her facial expression does not convey much emotion, which could make it difficult for viewers to connect with her performance.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a blue shirt and jeans. There is a camera on the tripod, and a person is standing behind them.

Errors: The person is not moving their arms or legs in a coordinated manner. Their movements are not fluid and they appear to be struggling to keep up with the music.

Skill Level: Novice",Novice,True
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The woman is dancing in a studio with a backdrop that says ""Le Yoga"". She is wearing a black tank top and black leggings. She is wearing sunglasses and has her hair pulled back. She is moving her arms and legs in a fluid motion, and she appears to be enjoying herself.

Errors: There are no errors in her movement.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a white shirt and black pants. The person is moving their arms and legs in a rhythmic manner, and they are stepping on the floor with their feet.

Errors: The person's movements are not very fluid, and there are some awkward steps. Their arms are not moving in sync with their legs, which can be seen in the video.

Skill Level: Novice",Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The woman is dancing in a studio with a man filming her. She is wearing a white shirt and black pants. She is moving her arms and legs in a rhythmic manner, stepping side to side and raising her arms above her head.

Errors: The woman's movements are not perfectly synchronized with the music. Her steps are not consistent in speed and rhythm. She also seems to be struggling with maintaining her balance at times.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a camera on a tripod. They are wearing a white shirt and black pants. They are moving their arms and legs in a fluid motion, and their feet are off the ground at times.

Errors: The person's movements are not perfectly synchronized with the music, and they occasionally lose their balance and stumble.

Skill Level: Intermediate Expert",Intermediate Expert,True
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The man is dancing in a studio with a backdrop that says ""1Lè"". He is wearing a black shirt, blue jeans, and sneakers. He is moving his arms and legs in a rhythmic manner, stepping side to side and swaying his hips.

Errors: The man's movements are not very fluid or precise. His steps are uneven and he appears to be struggling to maintain a consistent rhythm. His arm movements are also not very smooth and he seems to be flailing them around.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a black shirt and blue jeans. Their arms are moving in a circular motion, and they are stepping side to side.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling with maintaining balance while dancing.

Skill Level: Novice",Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a wooden floor, a couch, and some equipment. They are wearing a plaid shirt and jeans. Their movements include stepping side to side, raising their arms, and swaying their hips.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. They may benefit from practicing more to improve their technique and flow.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in a room with a piano, a microphone stand, and a table. They are wearing a plaid shirt and black pants. Their arms are outstretched and they are moving their feet in a rhythmic manner.

Errors: The person's movements appear to be somewhat stiff and uncoordinated. They may benefit from practicing more to improve their fluidity and grace.

Skill Level: Novice",Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The woman is dancing in a studio with a white floor and red walls. She is wearing a black tank top and black leggings. She is moving her arms and legs in a rhythmic manner, and she appears to be enjoying herself.

Errors: There are no apparent errors in the woman's movement. She is dancing in a fluid and graceful manner.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with black curtains and a tripod. They are wearing a watch on their left wrist. Their arms are outstretched, and they are moving their hands in a circular motion.

Errors: The person's movements are not very fluid, and there are some awkward movements that suggest they are still learning the dance routine.

Skill Level: Novice",Novice,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Ile."" They are wearing a blue jacket, black pants, and sunglasses. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. Their steps are not perfectly aligned, and there are moments where they seem to hesitate or lose their rhythm.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a red shirt and have long hair. They are moving their arms and legs in a rhythmic manner, and their movements appear to be fluid and graceful.

Errors: There are no apparent errors in the person's movement. Their dance appears to be well-executed and in sync with the music.

Skill Level: Intermediate Expert",Intermediate Expert,False
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Le"". They are wearing a black shirt and blue jeans. They are moving their arms and legs in a rhythmic manner, stepping side to side and swaying their hips.

Errors: The person's movements are not perfectly synchronized with the music, and they occasionally lose their balance and stumble.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a black shirt and blue jeans. There are other people in the background, but they are not the focus of the video.

Errors: The person's movements are not very fluid or graceful. They seem to be struggling with their dance moves and are not performing them with much confidence.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The man is dancing in a room with a white floor and a red wall. He is wearing a blue shirt and black pants. He is moving his arms and legs in a rhythmic manner, and he appears to be enjoying himself.

Errors: There are no apparent errors in the man's movement. He is dancing in a fluid and graceful manner.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a blue shirt and black pants. Their arms are moving in a circular motion, and they are stepping side to side.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling with maintaining balance while dancing.

Skill Level: Novice",Novice,False
