clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is dancing in a room with desks and chairs. They are wearing a gray shirt and blue jeans. They are moving their arms and legs in a rhythmic manner, stepping side to side and swaying their hips.

Errors: The person's movements are not very fluid or precise. Their steps are uneven and they appear to be struggling to maintain a consistent rhythm.

Skill Level: Novice",Novice,False,"Observations: The person is dancing in an office space with desks, chairs, and a whiteboard. They are wearing a black shirt and black pants. Their movements are fluid and graceful, suggesting they have some experience with dance.

Errors: There are no significant errors in the person's movements. They appear to be performing a choreographed routine with precision and control.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Ile."" They are wearing a blue jacket, black pants, and sunglasses. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head at times.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. Their steps are not perfectly aligned, and there are moments where they seem to hesitate or struggle to maintain rhythm.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with black curtains and a white floor. They are wearing a blue shirt and black pants. They are moving their arms and legs in a rhythmic manner, and their movements appear to be fluid and coordinated.

Errors: There are no apparent errors in the person's movement. Their technique appears to be smooth and well-coordinated.

Skill Level: Intermediate Expert",Intermediate Expert,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The person is dancing in a studio with a backdrop that says ""Le Yoga."" They are wearing a black tank top and black leggings, and they have long hair tied back. They are moving their arms and legs in a fluid motion, and their feet are positioned on the floor in a way that suggests they are practicing yoga poses.

Errors: The person's movements are not entirely precise, and there are some small errors in their form. For example, at times, their arms are not fully extended, and their legs are not perfectly straight. Additionally, their feet are not always positioned correctly, which can affect their balance and stability.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a white shirt and black pants. They are moving their arms and legs in a rhythmic manner, and their feet are tapping on the floor. There is a man standing behind them, watching them dance.

Errors: The person's movements are not very fluid, and they seem to be struggling with some of the steps. Their arms and legs are not moving in perfect sync, and there are some awkward moments where they appear to be hesitating or stumbling.

Skill Level: Novice",Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The person is dancing with fluid movements, showing good control over her body. She is wearing a white shirt and black pants, which allow for easy movement. Her hair is tied back, keeping it out of her face while she dances. She is standing on a wooden floor, which provides a stable surface for her to dance on.

Errors: There are no significant errors in her movement. She appears to be comfortable and confident in her dance routine.

Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is dancing in a room with a black curtain in the background. They are wearing a black shirt and black pants. They are moving their arms and legs in a rhythmic manner, and their feet are tapping on the floor. There is a tripod in the corner of the room.

Errors: The person's movements are not very fluid, and they seem to be struggling to keep up with the rhythm. Their steps are not very precise, and they are occasionally stepping on the tripod.

Skill Level: Novice",Novice,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The person is standing in front of a backdrop, facing the camera. They are wearing sunglasses and a black jacket. Their arms are slightly bent at the elbows, and they are moving their feet in a rhythmic manner. The person appears to be dancing.

Errors: The person's movements are not very fluid, and there are some awkward steps. Their arms are not moving in sync with their feet, which can make the dance look disjointed.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain backdrop. They are wearing a dark outfit and appear to be moving their arms and legs rhythmically. The camera captures the dancer from different angles, including close-ups and wide shots.

Errors: The dancer's movements seem to lack precision and fluidity. Their steps and arm movements appear somewhat stiff and uncoordinated. There may also be some hesitation or uncertainty in their dance routine.

Skill Level: Novice",Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The person is dancing in a room with a wooden floor, wearing a plaid shirt and jeans. They are moving their arms and legs in a rhythmic manner, stepping forward and backward while swaying their hips. Their movements appear fluid and coordinated.

Errors: The person's steps are not perfectly aligned, and there are some minor inconsistencies in their foot placement. Additionally, their arm movements could be more synchronized with their leg movements for a smoother dance.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a wooden floor, a table, a chair, and a piano. They are wearing a plaid shirt and black shoes. They are moving their arms and legs in a rhythmic manner.

Errors: The person's movements are not very fluid and they seem to be struggling with maintaining balance. Their steps are not consistent and they appear to be hesitating at times.

Skill Level: Novice",Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The person is dancing in a studio with a white floor and a red wall. She is wearing a black tank top and black leggings. She is moving her arms and legs in a fluid motion, and she appears to be enjoying herself. There is a man sitting on a stool in the background, watching her dance.

Errors: The person's movements are not perfectly synchronized, and there are some small mistakes in her form. For example, she sometimes lifts her foot too high or extends her arm too far. However, overall, her dancing is quite good.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a watch on their left wrist. There are two other people sitting in the background, one of whom is holding a camera.

Errors: The person's movements appear to be somewhat stiff and uncoordinated. Their steps do not flow smoothly, and they seem to be struggling to maintain rhythm.

Skill Level: Novice",Novice,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""Ile."" They are wearing a blue jacket, black pants, and black shoes. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head at times.

Errors: The person's movements appear to be somewhat stiff and lack fluidity. Their steps are not perfectly aligned, and there are moments where they seem to hesitate or struggle to maintain rhythm.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in front of a black curtain with white dots on it. They are wearing a blue shirt and black pants. Their arms are outstretched, and they are moving their hips and legs to the music. There is a tripod and a camera in the background.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling to keep up with the music.

Skill Level: Novice",Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is dancing in a studio with a backdrop that says ""1Lè"". They are wearing a black shirt, blue jeans, and brown shoes. They are moving their arms and legs in a rhythmic manner, stepping side to side and raising their arms above their head.

Errors: The person's movements are not very fluid or precise. Their steps are uneven and their arms do not move in a smooth, flowing manner. They also appear to be struggling to maintain their balance at times.

Skill Level: Novice",Novice,True,"Observations: The person is dancing in a room with a black curtain and a tripod. They are wearing a black shirt and blue jeans. Their arms are moving in a circular motion, and they are stepping side to side.

Errors: The person's movements are not very fluid, and there are some awkward steps. They also seem to be struggling with maintaining balance while dancing.

Skill Level: Novice",Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The person is dancing in a room with a white floor and a red wall. They are wearing a blue shirt and black pants. They are moving their arms and legs in a rhythmic manner, and they appear to be enjoying themselves.

Errors: There are no significant errors in the person's movement. They are dancing in a fluid and graceful manner.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is dancing in a room with black curtains and a white floor. They are wearing a black shirt and black pants. They are moving their arms and legs in a rhythmic manner, and their feet are tapping on the floor. There is a tripod in the background.

Errors: The person's movements are not very fluid, and they seem to be struggling with some of the steps. Their arms and legs are not moving in perfect sync, and there are some awkward moments where they appear to be hesitating or stumbling.

Skill Level: Novice",Novice,False
