clip_id,take_folder,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
586597cc-59c5-45d5-9596-0b6506d9c0ba,uniandes_bouldering_037_38,Late Expert,"Observations: The person is climbing a rock wall, using both hands and feet to grip the holds on the wall. They are moving upwards and to the right, reaching for higher holds with their left hand while their right hand is positioned lower on the wall. Their legs are bent at the knees, providing support and balance as they climb.

Errors: The person's left hand is not gripping the hold firmly enough, which could lead to a fall if they lose balance. Additionally, their right hand is not fully extended, which could also cause instability.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall, using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand supports them. Their legs are bent at the knees, providing stability and power for the climb. The person appears focused and determined, maintaining a steady pace.

Errors: The person's left hand could be more effective in supporting their weight, as it seems to be slightly behind the right hand. This might cause instability during the climb. Additionally, the person's right foot placement could be improved for better balance and control.

Skill Level: Intermediate Expert",Intermediate Expert,False
9ceee09a-ab19-4463-baac-0ed48d21827e,uniandes_bouldering_024_44,Novice,"Observations: The person is climbing a rock wall, reaching for handholds with her right hand while her left hand is extended forward. She is wearing a tank top and leggings, and her hair is tied back. The rock wall has various colored handholds and footholds, and there is a mat on the floor below the wall.

Errors: The person's left hand is not gripping a hold, which could lead to instability. Additionally, her right hand is not fully extended towards the next hold, which may cause her to lose balance.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall, using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand supports them. Their feet are positioned on lower holds, providing stability as they climb.

Errors: The person's left hand is not gripping a hold as firmly as it could be, which may lead to instability during the climb. Additionally, their right hand is not fully extended towards the next hold, which could result in a less efficient use of strength and energy.

Skill Level: Intermediate Expert",Intermediate Expert,False
08f0616c-d3c4-414c-a492-d8d157872915,uniandes_bouldering_035_53,Early Expert,"Observations: The person is standing on a climbing wall, facing it. They are holding a phone with a QR code displayed on the screen. The person appears to be preparing to scan the QR code.

Errors: There are no apparent errors in the person's movement.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall, using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand supports them. Their feet are positioned on lower holds, providing stability as they climb.

Errors: The person's movements appear to be somewhat hesitant and uncoordinated at times. They may need more practice to improve their technique and fluidity.

Skill Level: Intermediate Expert",Intermediate Expert,False
5f1dd7a9-18b5-400a-a3de-1c30f547235e,uniandes_bouldering_027_19,Early Expert,"Observations: The person is lying on the ground, facing the climbing wall. They are holding onto a phone with both hands and appear to be looking at it. The phone has a QR code displayed on the screen.

Errors: There are no apparent errors in the person's movement. They seem to be in a relaxed position and are focused on the phone.

Skill Level: Novice",Novice,False,"Observations: The person is climbing a rock wall using both hands and feet to grip the holds. They are moving up the wall, shifting their weight and adjusting their grip on the holds. Their movements appear deliberate and controlled, indicating they have some experience with rock climbing.

Errors: The person's movements could be more fluid and efficient if they were to use their body weight more effectively. Additionally, they may benefit from practicing their footwork to improve their overall climbing technique.

Skill Level: Intermediate Expert",Intermediate Expert,False
baf283a8-4747-45f1-9c78-241003a8f1b5,uniandes_bouldering_034_56,Intermediate Expert,"Observations: The person is performing a climbing activity on a wall with various holds. They start by lying on the floor, then they move their legs up and down while keeping their upper body on the ground. After that, they use their hands to push themselves up and stand on the floor. Finally, they lie back down on the floor.

Errors: The person could improve their technique by maintaining better balance and control during the movement. Additionally, they could use the holds on the wall more effectively to assist in their movements.

Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is climbing a rock wall, using various handholds and footholds to ascend. They are wearing climbing shoes and appear to be using proper climbing techniques, such as maintaining a good grip and foot placement. The person is also using chalk on their hands to improve their grip.

Errors: There are no apparent errors in the person's movement. They are climbing with proper technique and maintaining a good grip on the handholds and footholds.

Skill Level: Intermediate Expert",Intermediate Expert,True
ea2d7015-0bf2-422c-b6ac-ebcf88fef619,uniandes_bouldering_025_13,Novice,"Observations: The person is climbing a rock wall, reaching for handholds with her right hand while her left hand is extended forward for balance. She is wearing a red tank top and gray shorts. Her movements are deliberate and controlled as she ascends the wall.

Errors: The person's left hand could be positioned more securely on a hold to provide additional support and stability during the climb. Additionally, her right foot placement could be improved for better leverage and balance.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall, using various handholds and footholds to ascend. They are wearing climbing shoes and appear to be using proper climbing techniques, such as keeping their core engaged and using their legs for support. The person is also using a chalk bag to apply chalk to their hands before climbing.

Errors: There are no significant errors in the person's movement. They are using proper climbing techniques and appear to be comfortable with the activity.

Skill Level: Intermediate Expert",Intermediate Expert,False
0dd0e0b5-cbd2-42d3-bc00-64375f14f374,uniandes_bouldering_032_81,Intermediate Expert,"Observations: The person is climbing a rock wall, using both hands and feet to grip the holds on the wall. They are moving up the wall, reaching for higher holds with each step. Their movements are deliberate and controlled, indicating a level of experience and skill.

Errors: There are no significant errors in the person's movements. They are climbing efficiently and safely, using proper techniques to maintain balance and avoid falling.

Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is climbing a rock wall, using both hands to grip the holds. They are moving upwards, reaching for higher holds with their right hand while maintaining balance with their left hand. Their feet are not visible in the image, but they appear to be stepping on the wall as well.

Errors: The person's movements seem to be somewhat hesitant and uncoordinated. They may need more practice to improve their technique and efficiency in climbing.

Skill Level: Novice",Novice,False
1088fd1c-1562-4ee5-b85c-ceb59bf85f20,uniandes_bouldering_035_28,Early Expert,"Observations: The person is climbing a rock wall, using both hands and feet to grip the holds. They are moving slowly and deliberately, focusing on each hold before shifting their weight. Their body is tense, indicating they are exerting effort.

Errors: The person's movements are slow and deliberate, which may not be efficient for climbing speed. They could benefit from improving their hand-eye coordination and foot placement to move more quickly and smoothly.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand is positioned lower on the wall. Their feet are also gripping the wall, providing support as they climb. The person appears to be focused on their climb, maintaining a steady pace.

Errors: The person's left hand is not gripping a hold as firmly as it could be, which may cause them to lose balance or slip. Additionally, their feet are not positioned optimally, which could lead to instability during the climb.

Skill Level: Intermediate Expert",Intermediate Expert,False
1c4f1db1-70bb-47e6-8d1f-00e924aa0a98,uniandes_bouldering_033_38,Intermediate Expert,"Observations: The person is climbing a rock wall, using both hands and feet to grip the holds. They are moving upwards and to the right, reaching for higher holds with their left hand. Their body is angled towards the wall, and they are using their core strength to maintain balance.

Errors: The person's left foot is not securely placed on a hold, which could lead to instability. Additionally, their right hand is not gripping a hold, which could also cause them to lose balance.

Skill Level: Intermediate Expert",Intermediate Expert,True,"Observations: The person is climbing a rock wall, using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand supports them on a lower hold. Their feet are positioned on the wall, with their right foot on a higher hold and their left foot on a lower hold. The person appears to be focused on their climb, maintaining a steady pace and using proper climbing techniques.

Errors: There are no apparent errors in the person's movement. They are using appropriate climbing techniques and maintaining a steady pace.

Skill Level: Intermediate Expert",Intermediate Expert,True
b92ec0ad-020b-4fed-87bf-002eaaa9a8ec,uniandes_bouldering_022_26,Late Expert,"Observations: The person is climbing a rock wall, using both hands and feet to grip the holds. They are wearing a blue tank top and black pants. The person is moving up the wall, reaching for the next hold with their right hand. They are looking up at the wall, focusing on their next move. The person is using a combination of strength and technique to climb the wall.

Errors: The person is not using proper climbing technique, as they are not using their legs effectively to push off the wall. This can lead to fatigue and injury over time. Additionally, the person is not using their core muscles properly, which can also lead to fatigue and injury.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person is climbing a rock wall, using both hands and feet to grip the colorful holds. They are moving upwards, reaching for higher holds with their right hand while their left hand is positioned lower on the wall. Their legs are spread apart for balance, and they appear to be focused on their climb.

Errors: The person's movements seem to be somewhat hesitant and uncoordinated at times, indicating that they may not be very experienced with rock climbing. There are also instances where they lose their grip on a hold, which could potentially lead to a fall if they don't quickly regain it.

Skill Level: Novice",Novice,False
