clip_id,take_folder,ground_truth,exo_nframes,exo_answer,exo_predicted,exo_correct,ego_nframes,ego_answer,ego_predicted,ego_correct
97b78075-0a0c-4198-bc78-b08a2c92b0aa,uniandes_bouldering_027_56,Novice,9,Novice,Novice,True,9,Novice,Novice,True
4401cdfe-a383-4116-b1ed-1783b2e0ae7e,uniandes_bouldering_036_4,Expert,45,Novice,Novice,False,45,Novice,Novice,False
25688508-2d52-4ceb-a949-5c64ffb1ce38,uniandes_bouldering_029_59,Novice,33,Novice,Novice,True,33,Novice,Novice,True
15c2eec6-ed88-464d-8917-80ec63c2902c,uniandes_bouldering_037_51,Expert,30,Novice,Novice,False,30,Novice,Novice,False
d49fcb33-6321-42fd-8fa6-9fdcbb66b72d,uniandes_bouldering_036_73,Expert,33,Novice,Novice,False,33,Novice,Novice,False
236fc074-73c1-415f-91cf-2c71cd12f3d6,uniandes_bouldering_022_32,Novice,16,Novice,Novice,True,16,Novice,Novice,True
43b17f97-4326-437f-b6f7-509fd782a69d,uniandes_bouldering_037_4,Expert,51,Novice,Novice,False,51,Novice,Novice,False
ee8e8ec3-9926-44bd-bcae-96248b2c5475,uniandes_bouldering_030_63,Expert,14,Novice,Novice,False,14,Novice,Novice,False
90d40eba-fb77-4014-b51b-675005365f66,uniandes_bouldering_027_52,Novice,10,Novice,Novice,True,10,Novice,Novice,True
74bc0655-0e3e-433f-b8f5-243764621fe5,uniandes_bouldering_030_25,Expert,43,Novice,Novice,False,43,Novice,Novice,False
631b6268-adf8-4206-86aa-20df608e2f3b,uniandes_bouldering_026_37,Novice,4,Novice,Novice,True,4,Novice,Novice,True
2d440a5d-6f5d-447f-b0d7-5227df11da5f,uniandes_bouldering_022_72,Novice,47,Novice,Novice,True,47,Novice,Novice,True
