clip_id,take_folder,ground_truth,exo_answer,exo_predicted,exo_correct,ego_answer,ego_predicted,ego_correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,Novice,Novice,True,Novice,Novice,True
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,Novice,Novice,False,Novice,Novice,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,Intermediate Expert,Intermediate Expert,True,Novice,Novice,False
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,Novice,Novice,True,Novice,Novice,True
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,Novice,Novice,False,Novice,Novice,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,Intermediate Expert,Intermediate Expert,False,Novice,Novice,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,Intermediate Expert,Intermediate Expert,False,Novice,Novice,True
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,Novice,Novice,True,Novice,Novice,True
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,Novice,Novice,False,Novice,Novice,False
b8afa573-2f0f-4b77-b4b3-5fbb7197dd1f,uniandes_dance_008_11,Late Expert,Intermediate Expert,Intermediate Expert,False,Novice,Novice,False
50e6c59b-737e-447c-984c-fde5cd3e5e80,uniandes_dance_023_51,Early Expert,Intermediate Expert,Intermediate Expert,False,Novice,Novice,False
7c8dc8cc-c863-4082-a011-ba385306537a,uniandes_dance_024_3,Novice,Novice,Novice,True,Novice,Novice,True
c198cb21-159d-4a1f-b395-976f44c24166,uniandes_dance_017_4,Novice,Intermediate Expert,Intermediate Expert,False,Novice,Novice,True
be44efc7-77ac-43ff-906b-3d49387ce118,uniandes_dance_022_17,Late Expert,Intermediate Expert,Intermediate Expert,False,Novice,Novice,False
dc26e79e-f38f-4711-a212-6a7de087d8ac,uniandes_dance_017_6,Novice,Intermediate Expert,Intermediate Expert,False,Novice,Novice,True
1f5b9ba5-a7c0-496d-b164-444251f45d25,uniandes_dance_002_3,Late Expert,Novice,Novice,False,Novice,Novice,False
be64949d-750d-4272-a561-a6c7c2d5a6b9,uniandes_dance_002_13,Early Expert,Novice,Novice,False,Novice,Novice,False
0c162693-cd79-4d37-9dd9-d1a6a5c653a3,uniandes_dance_020_28,Novice,Novice,Novice,True,Novice,Novice,True
94b7d4d2-0ddc-47d2-a88e-71193c2315cc,upenn_0629_Dance_2_2,Early Expert,Novice,Novice,False,Novice,Novice,False
8aef970a-22d8-4f21-94de-9737be02abd1,uniandes_dance_016_46,Novice,Intermediate Expert,Intermediate Expert,False,Novice,Novice,True
4db61f0f-e35b-4ad8-bc3a-8d4a02094c19,uniandes_dance_019_7,Intermediate Expert,Novice,Novice,False,Novice,Novice,False
