clip_id,take_folder,activity,ground_truth,exo_full_answer,exo_predicted,exo_correct,ego_full_answer,ego_predicted,ego_correct
0315b91a-b56f-4fc5-87f5-28c33c3fffab,upenn_0717_Piano_3_3,Music,Late Expert,"Observations: The man is playing the piano with his right hand. He is looking at the sheet music on the piano stand.

Errors: The man is not using his left hand to play the piano.

Skill Level: Novice",Novice,False,"Observations: The person plays the piano with both hands. The left hand plays the lower notes while the right hand plays the higher notes. The person reads the sheet music on the piano stand.

Errors: The person does not play the piano with the correct technique. The person does not read the sheet music correctly.

Skill Level: Novice",Novice,False
0c49cda5-7e55-46d8-8f1f-522ed1924a79,sfu_cooking_009_3,Cooking,Early Expert,"Observations: The woman is standing at the kitchen counter, holding a knife in her right hand and a piece of meat in her left hand. She is cutting the meat with the knife.

Errors: There are no apparent errors in the woman's movements.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person picks up the spatula with her right hand and uses it to flip the egg in the pan.

Errors: The person should have used both hands to flip the egg, as this would provide better control and prevent the egg from breaking.

Skill Level: Intermediate Expert",Intermediate Expert,False
cc808903-3102-4b15-a4a0-204f1379cdb3,sfu_basketball015_20,Basketball,Novice,"Observations: The woman in pink is dribbling a basketball on a court. She is wearing a pink shirt and black pants. There are two people sitting on a bench watching her. One person is standing next to the bench.

Errors: The woman in pink is not shooting the ball into the hoop. She is just dribbling it around the court.

Skill Level: Novice",Novice,True,"Observations: A man X throws a ball into a basketball hoop. A woman Y catches the ball. The woman Y throws the ball to a man Z. The man Z throws the ball into a basketball hoop.

Errors: None.

Skill Level: Intermediate Expert",Intermediate Expert,False
126eb2a4-4d4f-4d35-b390-7d9550b54c60,iiith_cooking_13_1,Cooking,Novice,"Observations: The woman is cooking on the stove. She is wearing glasses and has her hair tied back. She is standing in front of the stove, looking at the food she is cooking. She is wearing a white shirt with black flowers on it. There is a camera on a tripod behind her.

Errors: The woman is not using any utensils to cook the food. She is not stirring the food or flipping it over. She is just standing there watching the food cook.

Skill Level: Novice",Novice,True,"Observations: The person is cooking an omelette on a stove. They are using a spatula to flip the omelette. There is a camera on a tripod in front of them, recording the cooking process.

Errors: The person is not wearing an apron, which could be a safety concern while cooking. Additionally, they are not using a lid to cover the pan while cooking, which could cause the eggs to stick to the pan and burn.

Skill Level: Intermediate Expert",Intermediate Expert,False
085a7b00-4a7a-447e-9598-b7afa31b682c,utokyo_soccer_8000_46_47_10,Soccer,Intermediate Expert,"Observations: The person is kicking a ball on a field.

Errors: The person is not wearing proper soccer cleats, which could affect their performance.

Skill Level: Novice",Novice,False,"Observations: The person kicks the ball with his right foot.

Errors: The person should have kicked the ball with his left foot.

Skill Level: Novice",Novice,False
1377b49e-4a24-4e91-9fdb-709911b72f9a,upenn_0702_Cooking_3_2,Cooking,Novice,"Observations: The man X picks a bowl on the kitchen counter with his right hand.

Errors: None.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: The person picks up a cucumber from the chopping board with his left hand, then picks up a knife with his right hand. He places the cucumber on a plate on the counter with his left hand, then cuts the cucumber into pieces with the knife in his right hand. He then picks up the cucumber pieces from the plate with his left hand, then picks up the knife with his right hand. He places the cucumber pieces on the chopping board with his left hand, then cuts the cucumber pieces into smaller pieces with the knife in his right hand.

Errors: There are no apparent errors in the person's movements.

Skill Level: Intermediate Expert",Intermediate Expert,False
13f606fc-d7be-4b4e-a655-a090d921cf65,unc_basketball_03-16-23_02_25,Basketball,Early Expert,"Observations: A woman is standing on a basketball court, holding a basketball in her right hand. She is wearing a pink shirt and black pants. She is looking at the basketball hoop.

Errors: The woman is not actively engaged in any specific basketball-related activity. She is simply standing with the ball in her hand, looking at the hoop.

Skill Level: Novice",Novice,False,Observations: The man X throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches the ball. The man Y throws the ball to C. C throws the ball to the basketball hoop. The man Y catches,Unknown,False
24b82426-f1ff-4756-892b-bbf51aecd04d,unc_basketball_03-16-23_02_7,Basketball,Early Expert,"Observations: The man X throws the ball to the basketball hoop. The woman Y catches the ball with her hands.

Errors: None.

Skill Level: Intermediate Expert",Intermediate Expert,False,Observations: The man X throws the ball to C. C throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The man Y throws the ball to the basket. The man X catches the ball. The man X throws the ball to the basket. The man Y catches the ball. The,Unknown,False
08e909ba-da1b-4509-9b04-2986cf580e50,unc_basketball_03-16-23_02_14,Basketball,Early Expert,"Observations: The man A throws the ball to the basket. The man B catches the ball. The man B throws the ball to the basket. The man A catches the ball.

Errors: None.

Skill Level: Intermediate Expert",Intermediate Expert,False,"Observations: A man X throws a ball into a basketball hoop.

Errors: The ball is not thrown with enough force to reach the basket.

Skill Level: Novice",Novice,False
03d19dd1-75af-491f-bafa-6639b3fadacf,uniandes_basketball_005_3,Basketball,Intermediate Expert,"Observations: The man jumps up and throws the ball into the hoop.

Errors: The man jumps up and throws the ball into the hoop.

Skill Level: Intermediate Expert",Intermediate Expert,True,Observations: A man is playing basketball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball to the basket. The ball goes through the basket. The man catches the ball. The man throws the ball,Unknown,False
