model,activity,trim_condition,frame_count,prompt_type,view,file,n,accuracy,class_breakdown,predicted_distribution,extraction_status
gemini,climbing,entire,,binary,ego,dissertation_v2/results/gemini/gemini_climbing_entire_binary_ego.csv,50,0.76,Expert: 17/25=68.0%; Novice: 21/25=84.0%,Novice:29; Expert:21,trusted-clean
gemini,climbing,entire,,binary,single,dissertation_v2/results/gemini/gemini_climbing_entire_binary.csv,51,0.5882,Expert: 17/25=68.0%; Novice: 13/26=50.0%,Expert:29; Novice:21; Unknown:1,trusted-clean
gemini,climbing,entire,,fourclass,ego,dissertation_v2/results/gemini/gemini_climbing_entire_fourclass_ego.csv,100,0.32,Novice: 12/25=48.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 20/25=80.0%; Late Expert: 0/25=0.0%,Intermediate Expert:70; Novice:28; Early Expert:2,trusted-clean
gemini,climbing,entire,,fourclass,single,dissertation_v2/results/gemini/gemini_climbing_entire_fourclass.csv,100,0.26,Novice: 5/25=20.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 21/25=84.0%; Late Expert: 0/25=0.0%,Intermediate Expert:81; Novice:17; Late Expert:2,trusted-clean
gemini,climbing,entire,,reasoning,ego,dissertation_v2/results/gemini/gemini_climbing_entire_reasoning_ego.csv,100,0.28,Novice: 8/25=32.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 20/25=80.0%; Late Expert: 0/25=0.0%,Intermediate Expert:68; Novice:29; Unknown:3,recomputed
gemini,climbing,entire,,reasoning,single,dissertation_v2/results/gemini/gemini_climbing_entire_reasoning.csv,100,0.27,Novice: 3/25=12.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 24/25=96.0%; Late Expert: 0/25=0.0%,Intermediate Expert:92; Novice:6; Late Expert:1; Early Expert:1,trusted-clean
gemini,climbing,entire,,structured,ego,dissertation_v2/results/gemini/gemini_climbing_entire_structured_ego.csv,100,0.31,Novice: 11/25=44.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 20/25=80.0%; Late Expert: 0/25=0.0%,Intermediate Expert:75; Novice:23; Late Expert:2,trusted-clean
gemini,climbing,entire,,structured,single,dissertation_v2/results/gemini/gemini_climbing_entire_structured.csv,100,0.33,Novice: 10/25=40.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 23/25=92.0%; Late Expert: 0/25=0.0%,Intermediate Expert:80; Novice:20,trusted-clean
gemini,dance,entire,,binary,ego,diss_dance/results/gemini/gemini_dance_entire_binary_ego.csv,50,0.52,Late Expert: 1/25=4.0%; Novice: 25/25=100.0%,Novice:49; Expert:1,trusted-clean
gemini,dance,entire,,binary,single,diss_dance/results/gemini/gemini_dance_entire_binary.csv,50,0.6,Late Expert: 17/25=68.0%; Novice: 13/25=52.0%,Expert:29; Novice:21,trusted-clean
