clip_id,take_folder,ground_truth,answer,predicted,correct
08b98d19-224d-4f85-9aa9-23cd395f6ab4,uniandes_bouldering_025_56,Novice,"Observations: The individual is participating in a bouldering session. The video perspective is first-person (likely a chest or head-mounted camera). The climber displays a standard approach: beginning by sitting on the mat and referencing a route map or guidebook to identify the specific climbing sequence (the ""beta""). Before beginning the climb, they apply chalk to their hands to improve friction. They stand up, survey the wall to visualize their path, and move toward the climbing area. The climbing movement is deliberate, utilizing the various holds available on the bouldering wall.

Errors: Throughout the video, there is a lack of focus on specific footwork or body tension techniques. The transitions from reading the guide to attempting the move are somewhat hesitant. The climber appears to be spending significant time reviewing the guide rather than demonstrating fluid, instinctive movement, which suggests they are still in the process of mapping the route mentally rather than executing it with full confidence.

Skill Level: Intermediate Expert",Intermediate Expert,False
e5c4c6aa-f142-4b45-bb12-97e312cb20fd,uniandes_bouldering_028_24,Early Expert,"Observations: The climber uses a dynamic, steady style to navigate a bouldering wall. They maintain a close center of gravity, effectively utilizing both hands and feet to distribute weight. Their movement sequence is deliberate, with clear transitions between holds, and they employ a reach-and-pull technique, often shifting their body weight before committing to the next hold. Their posture is generally aligned with the wall to maximize reach, and they use their legs to push off lower holds, conserving arm strength.

Errors: There are minor moments of hesitation, particularly when transitioning between lower sections, which results in slightly inefficient energy expenditure. The foot placements are generally accurate, but occasionally there is a slight lack of precision when landing a foot on a smaller hold, causing a slight readjustment. On a couple of moves, the climber could have optimized their hip rotation to better center their gravity, which would have made the reach smoother and less reliant on upper-body strength.

Skill Level: Intermediate Expert",Intermediate Expert,False
893cede7-d8c5-4a4d-9666-b4a946b7c7eb,uniandes_bouldering_023_68,Early Expert,"Observations: The climber is bouldering on an overhang using a dynamic, parkour-inspired movement style. They begin by hanging from a large red hold and perform a powerful, explosive jump to reach a distant, smaller hold (the small blue one). Throughout the movement, the climber relies heavily on momentum and upper body strength, using their legs primarily to kick off or stabilize momentarily before committing to the next reach. They are climbing in a ""dyno"" fashion, sacrificing static control for speed and momentum to bridge the gap between widely spaced holds.

Errors: The primary error is the lack of controlled engagement with the wall. The climber relies on a ""huck and hope"" approach, where their body becomes a projectile rather than a controlled, stable unit. There is noticeable loss of body tension mid-air, leading to excessive swinging (the ""pendulum effect"") once they land the hold, which risks injury and wastes energy. Additionally, the climber does not utilize their lower body for pushing or flagging effectively; they are mostly relying on upper body pull to compensate for poor footwork and lack of core tension.

Skill Level: Novice",Novice,False
b6e1d3b6-622a-496f-9996-a1340314e268,uniandes_bouldering_027_32,Novice,"Observations: The climber is using a chest-mounted or head-mounted camera perspective to tackle a boulder problem. They begin in a crouched position, reaching up to grip a large red hold. They display basic weight transfer, using their legs to push upward while maintaining contact with the wall. The climber utilizes a mix of open-hand grips and crimps, repositioning their hands to gain leverage. As they reach for higher holds, they perform a dynamic movement to transition their body weight, though they struggle to maintain stability upon contact with the next hold, leading to a quick descent or a failed attempt to stick the hold.

Errors: The primary error is a lack of fluid engagement with the ""core."" The climber is overly reliant on upper-body strength, pulling with their arms rather than pushing through their feet and hips. There is a noticeable lack of body tension, causing the climber to ""swing"" away from the wall after making an upward reach. Their foot placement is imprecise; they are not looking down to spot footholds, leading to ""searching"" movements that waste energy. Furthermore, the final dynamic move shows poor momentum management, as they do not commit fully to the reach, resulting in a loss of balance.

Skill Level: Novice",Novice,True
3e219953-7cec-45ee-9c05-818d95513167,uniandes_bouldering_034_99,Early Expert,"Observations: The climber begins by performing a controlled mount onto the bouldering wall. They use a ""deadpoint"" technique to reach for holds, maintaining a good level of engagement in their core. Their footwork is relatively precise, utilizing the toes to make stable contact with the holds. They demonstrate a calm, deliberate climbing style, assessing the next reach before moving. The climber displays basic knowledge of center of gravity management, keeping their hips relatively close to the wall.

Errors: The primary error is a lack of fluid momentum during the transitions between holds. While the climbing is controlled, the individual relies heavily on arm strength rather than utilizing leg drive, which can be seen in the slight pauses between movements. Additionally, there is a missed opportunity to ""flag"" (extending a leg for balance) during the lateral traverses, which would have significantly increased stability and reduced the strain on their upper body.

Skill Level: Intermediate Expert",Intermediate Expert,False
3e8cacb0-dffe-424e-ac44-539f255c5156,uniandes_bouldering_032_77,Intermediate Expert,"Observations: The climber uses a dynamic, aggressive style, utilizing high-intensity moves on a steep, overhanging wall. They frequently employ ""heel hooks"" and ""flagging"" to maintain balance and generate upward momentum. The climber maintains a high center of gravity during transitions, using momentum rather than purely static tension to reach holds. They exhibit a good understanding of body tension and core engagement, frequently shifting hips close to the wall to optimize reach.

Errors: The climber displays some lack of precision in foot placement, often needing to readjust their feet after initial contact with holds. There is occasional ""barn-dooring"" (swinging away from the wall) when reaching for long moves, indicating a minor deficiency in maintaining perfect center-of-mass control on the overhang. Additionally, the climber takes a somewhat inefficient, high-energy approach that occasionally sacrifices stability for speed.

Skill Level: Intermediate Expert",Intermediate Expert,True
4d46b132-1c9e-404d-86fd-f7fc1dd4c320,uniandes_bouldering_034_65,Early Expert,"Observations: The climber begins by performing a static reach to establish a grip on a circular hold at the start of the route. They utilize a standard approach to a bouldering wall, with their legs initially positioned low near the base. The climber transitions into a dynamic upward movement, using their arms to pull themselves toward the next set of holds. During the climb, they demonstrate a basic grasp of weight distribution, using their legs to push off the wall. The camera perspective is a wide-angle, body-mounted view that follows the climber's path as they traverse the wall.

Errors: The primary error is a lack of fluid body tension and imprecise footwork. The climber is seen ""cutting feet"" (swinging their legs away from the wall) during the transition between holds, which indicates a failure to maintain core engagement. They also rely heavily on upper body pulling strength rather than utilizing ""deadpoint"" momentum or hip positioning to minimize exertion. The landing is abrupt and uncontrolled, suggesting poor awareness of body control during the descent phase.

Skill Level: Novice",Novice,False
a6b13562-f2e4-4254-bc1c-9e7513a438c3,uniandes_bouldering_023_23,Early Expert,"Observations: The climber begins by approaching the wall and establishing a low starting position. They initiate the movement by gripping the starting holds with both hands and finding a stable foot placement. They transition into a controlled upward movement, using a hand-over-hand approach to ascend. Throughout the climb, they maintain a relatively close proximity to the wall to keep their center of gravity stable. They use the available holds to transition their body weight, eventually reaching the end of the sequence before dismounting safely back onto the mat.

Errors: The climber displays a lack of ""fluidity"" in their movement, opting for static, deliberate steps rather than utilizing momentum. There is a visible hesitation between moves, suggesting they are mentally planning each step while on the wall rather than having the sequence fully internalized. Additionally, their footwork lacks precision; they have to adjust their feet slightly after placing them on the holds, which consumes unnecessary energy.

Skill Level: Intermediate Expert",Intermediate Expert,False
1fd6d3f8-5a49-4af5-9e39-f80dff8bdd4b,uniandes_bouldering_022_39,Early Expert,"Observations: The climber prepares by adjusting their climbing shoes and chalking their hands. They begin the climb using a static style, focusing on body tension and controlled, deliberate movements. They maintain a relatively stable center of gravity, keeping their hips close to the wall. They utilize cross-over techniques and focus on identifying specific holds (marked with small labels) in a sequential manner. They frequently look at their own hands to ensure precision in grip.

Errors: There is a notable lack of dynamic movement or momentum utilization, which makes the climb more physically taxing than necessary. The climber appears overly hesitant, frequently pausing to visually verify the next hold rather than relying on tactile intuition or ""reading"" the route beforehand. Their footwork is somewhat timid; they occasionally lose stability because they are not fully committing their weight to their lower extremities, resulting in excessive reliance on upper body strength to stabilize the body.

Skill Level: Intermediate Expert",Intermediate Expert,False
d29c0c12-1d70-4e13-8384-97c0db59f47e,uniandes_bouldering_034_88,Intermediate Expert,"Observations: The climber displays a dynamic and fluid climbing style. They utilize high-tension footwork, frequently engaging in ""smearing"" and precise toe placement on small holds. Throughout the ascent, they maintain a ""triangle"" body position when reaching for the next hold, keeping their center of gravity close to the wall. They demonstrate active hip rotation and use their core to control momentum during reaches. The climber exhibits good reach efficiency, frequently using ""flagging"" techniques to maintain balance while moving their feet.

Errors: The primary error is a minor moment of hesitation midway through the route where the climber re-adjusts their grip, suggesting a brief lack of confidence in the hold's friction or their own placement. Additionally, there is a slight loss of tension in the trailing leg during the reach at the 00:26 mark, causing the body to swing out momentarily before stabilizing.

Skill Level: Intermediate Expert",Intermediate Expert,True
