clip_id,take_folder,ground_truth,answer,predicted,correct
b40e861f-60a7-4b55-8757-41a6af4e62e8,upenn_0730_Dance_1_7,Intermediate Expert,"Observations: The person is demonstrating a martial arts or self-defense technique involving a short staff or baton. He starts in a neutral standing position, then transitions into a series of fluid, repetitive strikes and blocks. He performs overhead swings, horizontal slashes, and defensive parries, keeping the weapon close to his body to maintain control. He demonstrates consistent footwork, pivoting his lead foot to generate torque and shifting his weight between the front and back legs during transitions.

Errors: While his movements are generally fluid, there are minor issues with stability. During the transition between complex striking patterns, he occasionally struggles with balance, showing slight wobbling in his lead leg. His grip pressure appears inconsistent; at times the wrist is slightly locked rather than fluid, which could hinder the speed of recovery for follow-up strikes. Additionally, his core engagement could be tighter during the defensive parrying phase, as his upper body sways more than is ideal when executing high-speed changes in direction.

Skill Level: Intermediate Expert",Intermediate Expert,True
4e468597-ba96-40c7-977b-7736a4a3bd73,uniandes_dance_017_3,Novice,"Observations: The dancer is performing a contemporary/urban dance routine in a studio setting. She maintains a generally athletic posture, characterized by bent knees and a grounded center of gravity. Her movements focus on fluidity in the arms and upper torso, utilizing rhythmic isolations of the head and shoulders. She frequently shifts her weight between her legs to facilitate transitions and uses rotational movements (pivots and turns) to navigate the space. Her arms are often extended or used to frame the movement, and she exhibits a clear attempt to synchronize her limb extensions with the tempo of the music.

Errors: There are noticeable issues with weight transfer and stability; the dancer experiences minor balance wobbles during quick pivots, suggesting a lack of core engagement at critical moments. The arm movements sometimes lack sufficient tension, appearing ""loose"" rather than intentional or purposeful. Additionally, there is a lack of fluidity in the transition between steps, causing the performance to look slightly mechanical rather than continuous. The footwork is sometimes hesitant, and she occasionally loses focus on her peripheral positioning, resulting in slightly unpolished arm extensions.

Skill Level: Intermediate Expert",Intermediate Expert,False
7d810b75-87a9-4b95-86d0-c970ae6d03a5,uniandes_dance_023_26,Late Expert,"Observations: The dancer is performing a series of controlled, rhythmic movements with a focus on fluid arm extensions, isolations, and coordinated footwork. She maintains a constant athletic stance with slight knee flexion. Her transitions between steps are deliberate, characterized by sharp head turns and expressive hand gestures. She demonstrates good spatial awareness, maintaining a consistent center of gravity while executing quick direction changes and arm patterns.

Errors: There is a slight lack of tension in the extremities during certain arm reaches, which occasionally causes the movements to look slightly ungrounded. In some sequences, her rhythm becomes marginally detached from the implied tempo, leading to moments where the fluidity of the movement is momentarily broken. Additionally, the synchronization between the upper and lower body is occasionally out of phase, specifically during the rapid rotation segments.

Skill Level: Intermediate Expert",Intermediate Expert,False
6da46fdf-32e1-4f44-a903-ab609f0d750c,uniandes_dance_008_51,Intermediate Expert,"Observations: The dancer is performing a contemporary/jazz-style movement sequence in a studio setting. She maintains a consistent center of gravity, utilizing a grounded demi-plié in her transitions. Her upper body incorporates fluid, sweeping arm movements, with a focus on lines and extension. She utilizes her torso for rhythmic contractions and releases, and her head movements are intentional, often leading the direction of the limbs. She displays a clear sense of musicality, matching her transitions to the rhythm, and maintains good posture throughout the choreography.

Errors: There is a lack of full extension in the fingers and wrists during several transitional sequences, making the arm lines appear slightly soft rather than sharp or fully articulated. In some of the pivot turns and directional shifts, her weight transfer is slightly hesitant, causing a brief loss of momentum. Additionally, the transition between her floor-level movements and upward reaches lacks a smooth ""breath"" or rebound, resulting in a slightly mechanical shift between levels.

Skill Level: Intermediate Expert",Intermediate Expert,True
92ee422b-2245-4efa-b300-0c5dc2744043,uniandes_dance_022_3,Novice,"Observations: The dancer is performing a series of Afro-Cuban or salsa-based movement patterns, characterized by rhythmic weight shifts, isolations of the upper body, and rotational footwork. They maintain a slightly hunched posture throughout, with a focus on hip articulation and arm extensions. The transitions involve stepping, turning, and occasional leg lifts. The dancer keeps their gaze mostly forward and maintains a consistent pace, though the movements lack fluidity in the transitions between the upper body and lower body, particularly when changing directions.

Errors: There are notable issues with frame and postural alignment; the shoulders remain tense, which restricts the natural flow of the arm movements and limits the extension of the gestures. There is a lack of clear articulation in the feet, leading to ""heavy"" landings rather than the light, grounded steps typical of this dance style. Additionally, the dancer struggles with timing consistency during the turns, resulting in slight imbalances and a loss of centrifugal momentum, forcing them to over-correct their posture mid-motion.

Skill Level: Intermediate Expert",Intermediate Expert,False
6cce39fb-95c0-44b3-bddd-b20cd271f6b6,upenn_0629_Dance_3_6,Early Expert,"Observations: The individual is performing an Irish dance style, specifically a reel or jig variation, focusing on rhythmic footwork and posture. His torso remains relatively upright, and he maintains a consistent rhythm throughout the sequence. He utilizes a mix of hop-backs, kicks, and cross-over steps, keeping his arms mostly stationary or slightly engaged for balance. His weight distribution appears centered, and he demonstrates a good understanding of the fundamental ""turnout"" required for this discipline.

Errors: The primary error is a lack of sharpness and ""lift"" in the execution. His ankles show some instability, resulting in uneven landings that slightly disrupt the intended percussive clarity. There is also an inconsistency in his knee extension during the kick sequences, making the leg movements appear slightly sluggish rather than snappy. The rhythmic precision falters periodically, suggesting he is still struggling to maintain tempo during more complex transitions.

Skill Level: Intermediate Expert",Intermediate Expert,False
ed917883-c69b-4f94-83bd-1c7f583b4331,uniandes_dance_015_22,Late Expert,"Observations: The dancer is performing a series of dance fitness movements (likely Zumba or a similar aerobics-based routine). She maintains a high energy level, moving through different footwork patterns including side-steps, grapevines, and pivots. Her arms are kept engaged, following the rhythmic flow of the choreography, and she demonstrates good spatial awareness of the room. Her center of gravity is kept relatively low throughout the routine to facilitate quick transitions.

Errors: There are slight issues with technical precision during faster transitions. Specifically, the weight distribution between her feet occasionally appears uneven during turns, leading to minor stability wobbles. Her arm movements, while energetic, sometimes lack the sharp, deliberate extension that would make the transitions look more crisp and professional. Additionally, there is a slight lack of synchronization between her lower and upper body in the more complex, faster-paced segments.

Skill Level: Intermediate Expert",Intermediate Expert,False
8aa071f1-fcea-4bf4-9a0a-e885a32da656,uniandes_dance_016_43,Novice,"Observations: The dancer is performing a series of hip-hop influenced choreographic movements. She maintains a consistent center of gravity with bent knees, utilizing grounded, rhythmic steps. Her arm movements are sharp, utilizing extensions and angles that coordinate with her torso shifts. She exhibits good rhythmic timing with the music, using isolations in the chest and shoulders to accentuate beats. Her gaze is generally focused forward or toward the direction of the movement, maintaining decent posture throughout.

Errors: There is a lack of fluidity in the transitions between the upper and lower body movements; the dancer appears somewhat stiff, particularly in the shoulders and neck, which restricts the expressive range of the performance. Her movements occasionally lack full follow-through, leading to a ""choppy"" aesthetic. Additionally, her footwork is slightly hesitant in the faster sequences, suggesting a need for increased confidence and weight distribution stability.

Skill Level: Intermediate Expert",Intermediate Expert,False
71e8d768-1bd4-4f21-91bd-da53bfe29279,uniandes_dance_022_11,Novice,"Observations: The person is performing a choreographed dance sequence in a studio. She maintains a consistent posture, keeping her torso upright and generally engaged. Her movements include rhythmic stepping, arm extensions, and occasional turns. She demonstrates a clear understanding of the rhythm, as her steps coincide with the intended musical structure. Her weight distribution is generally focused through the balls of her feet, which allows for better agility during transitions.

Errors: There is a lack of fluidity in her arm extensions, often appearing slightly stiff or hesitant. When executing turns, her spotting is inconsistent, which affects her balance and stability. Additionally, she experiences some tightness in the shoulders, which limits the expressive quality of her upper body movements. Her transition between steps sometimes lacks the necessary ""glide,"" resulting in a slightly heavy footed appearance rather than a light, dance-forward technique.

Skill Level: Intermediate Expert",Intermediate Expert,False
88ec5df5-24f4-48d4-8452-ad4c12103a0a,uniandes_dance_013_7,Early Expert,"Observations: The subject is practicing footwork and upper body coordination typical of contemporary or freestyle dance. He focuses on shifting weight from one leg to the other, incorporating pivot turns, rhythmic steps, and deliberate arm movements. He maintains a slightly crouched, grounded stance, using his core to initiate turns and extensions. His movements are generally fluid, but he frequently stops to reset his position or check his timing against the environment.

Errors: There is a lack of fluidity between transitions; the movements are segmented rather than continuous. He exhibits minor balance instabilities during the pivot turns, causing him to lean slightly off-center. His upper body gestures lack the full extension required for professional expression, and there is a noticeable hesitation in his foot placement, indicating that he is still consciously calculating the steps rather than performing them by muscle memory.

Skill Level: Intermediate Expert",Intermediate Expert,False
b8afa573-2f0f-4b77-b4b3-5fbb7197dd1f,uniandes_dance_008_11,Late Expert,"Observations: The dancer is performing a series of Afro-Caribbean inspired movements, likely a form of Caribbean dance or folkloric styling. Her posture is generally upright with a slight bend in the knees, maintaining a grounding throughout the dance. Her arm movements are fluid, and she makes consistent eye contact with the camera. She frequently uses rhythmic hip isolations, weight transfers, and circular torso movements, shifting her body weight between feet to maintain the rhythm of the music played by the musician seated to her right.

Errors: There is a notable lack of fluidity in the transition between steps; the movements appear somewhat mechanical and rehearsed rather than deeply embodied. Her core engagement is inconsistent, causing her center of gravity to shift unnecessarily during certain turns. While she attempts to mirror the rhythmic shifts of the music, there are moments where her footwork is slightly off-beat, particularly during more complex sequences. Her arm extensions, while expressive, occasionally lack the sharp, deliberate tension required to complete the lines of the choreography effectively.

Skill Level: Intermediate Expert",Intermediate Expert,False
50e6c59b-737e-447c-984c-fde5cd3e5e80,uniandes_dance_023_51,Early Expert,"Observations: The dancer is performing a series of Afro-Cuban or salsa-inspired footwork and body isolation movements. He begins with a rhythmic side-step sequence involving arm extensions and rotational torso movements. He maintains a consistent posture, using his arms to frame his movements, and performs a series of rhythmic weight shifts (salsa basic variations and pivots). His gaze is generally forward, and he incorporates some styling, such as touching his head and extending arms to emphasize the rhythm of the music.

Errors: The primary imprecisions lie in the coordination of his weight transfers. During the side-step movements, his landing is slightly heavy, lacking the fluid ""grounding"" typical of advanced dancers. There is occasional tension in the shoulders during his arm styling, which detracts from the fluidity of the movement. Furthermore, his pivot turns show a slight lack of core engagement, causing him to slightly lose his center of gravity during rotation. The transition between footwork patterns is occasionally abrupt rather than seamless.

Skill Level: Intermediate Expert",Intermediate Expert,False
7c8dc8cc-c863-4082-a011-ba385306537a,uniandes_dance_024_3,Novice,"Observations: The individual is performing basic footwork in a dance studio setting. He keeps a consistent rhythmic bounce, utilizing a step-tap, step-tap pattern. His weight is generally kept toward the balls of his feet, and his arms are held in a relaxed, rhythmic motion at chest height. He maintains a good center of gravity throughout the repetitive sequences, shifting his hips slightly to facilitate the lateral movement.

Errors: There are noticeable inconsistencies in his foot placement, particularly regarding the alignment of his feet during the ""step"" portion of the move; he occasionally fails to fully extend or shift his weight decisively to the supporting leg, leading to a slightly shaky transition. His upper body remains somewhat static, lacking the fluid connection to the hip movement that characterizes more advanced styling. Additionally, his rhythmic timing drifts slightly off the beat during the transitions between different directional patterns.

Skill Level: Intermediate Expert",Intermediate Expert,False
c198cb21-159d-4a1f-b395-976f44c24166,uniandes_dance_017_4,Novice,"Observations: The dancer is performing a contemporary/modern dance routine in a studio setting. She utilizes a wide range of motion, focusing on fluid arm gestures, level changes (crouching and reaching upward), and rhythmic footwork. She maintains a consistent gaze, often looking upward to accent the extensions of her arms. The choreography involves dynamic shifts in weight and includes a few turns and knee-oriented movements, demonstrating a clear attempt to connect with the musical phrasing.

Errors: There are noticeable issues with weight transfer and stability; the dancer appears somewhat hesitant during transitions, which leads to a slight lack of fluidity in her movements. Her balance is shaky during single-leg movements, and her footwork lacks the necessary precision to fully commit to the sharp beats of the music. Additionally, the execution of arm extensions is inconsistent, with some positions appearing ""soft"" or unfinished due to a lack of core tension and full reach through the fingertips.

Skill Level: Intermediate Expert",Intermediate Expert,False
