clip_id,take_name,ground_truth,answer,predicted,correct
8ebffdce-ebf0-4824-a266-2c910dd6b5a7,uniandes_bouldering_036_71,Late Expert,Intermediate Expert,Intermediate Expert,False
ab4c2f5f-129f-41ed-9bdb-72d8ebeb5539,uniandes_bouldering_037_46,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
3b686d9f-ac68-4bf5-9aa8-a7e302dc47db,uniandes_bouldering_035_19,Early Expert,"Based on the commentary, the climber is described as being able to establish on the problem and complete the first good move with good pacing. This suggests that the climber has a certain level of skill and experience. However, the commentary",Unknown,False
34f0ba8e-0311-44ec-a4c7-be958bc1a46a,uniandes_bouldering_032_46,Intermediate Expert,Novice,Novice,False
107416c7-6d51-4e77-9624-b7fcfc34e196,uniandes_bouldering_032_63,Intermediate Expert,Novice,Novice,False
3f4904f8-2373-47de-bf06-e897f71bcf19,uniandes_bouldering_029_76,Early Expert,Novice,Novice,False
e8c28e76-e8d5-41df-8ce6-a645ce928b7b,uniandes_bouldering_032_59,Intermediate Expert,Novice,Novice,False
2d2f63c6-ba70-47bb-be76-a4314c7dc7b8,uniandes_bouldering_035_62,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentary mentions that the climber is able to match a difficult hold, but also struggles with accuracy and positioning. This suggests that the",Intermediate Expert,False
ba33b214-c9db-4d96-a734-28e69f31b4f8,uniandes_bouldering_035_23,Early Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is able to get into position to reach and touch the next handhold, but falls away from the wall as soon",Intermediate Expert,False
1bae4806-b9a5-4271-9d40-b14e42c50fa0,uniandes_bouldering_028_42,Novice,Intermediate Expert,Intermediate Expert,False
3378ba20-8fed-4bdb-a325-3e0c42ca6bae,uniandes_bouldering_027_30,Novice,Novice,Novice,True
8d6cabe4-79c4-4349-a05d-2d7132f83c94,uniandes_bouldering_032_44,Intermediate Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is following along with the judge's laser pointer and pantomiming their anticipated hand movements, which",Intermediate Expert,True
bf0bb126-a4a2-49f8-ba3e-18f82e9d615a,uniandes_bouldering_027_92,Intermediate Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentator mentions that the climber is ""bunched up"" in their right arm and could potentially improve their technique by shifting their h",Intermediate Expert,True
53bf4932-e94f-47b3-b7df-8b780fbcbc4d,uniandes_bouldering_033_6,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
a57791d5-65d8-49aa-a18e-3cf6e7456cfc,uniandes_bouldering_035_36,Early Expert,Intermediate Expert,Intermediate Expert,False
5d486d41-7b7b-427a-b204-21308ce879d7,uniandes_bouldering_027_50,Novice,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentary mentions that there was some confusion about where the feet should be placed, but the climber ultimately decided to place the right foot on the",Intermediate Expert,False
47c1bd4f-331c-469e-b720-91989a8ee5ad,uniandes_bouldering_027_49,Novice,Novice,Novice,True
ec173b33-65be-4e8f-9b42-0725c4f5d670,uniandes_bouldering_037_32,Late Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. They are able to read the intuitive position to go to next, but they struggle to maintain it due to the amount of energy spent on the previous move",Unknown,False
7869fe54-f7d3-4961-b9f3-364597d0cf86,uniandes_bouldering_028_11,Novice,Novice,Novice,True
d75616cc-6fbf-4201-b400-6395f517979c,uniandes_bouldering_027_26,Novice,Novice,Novice,True
3be4784e-6a2a-40c1-b2ba-c09251033251,uniandes_bouldering_029_87,Novice,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentary mentions that the climber is attempting a low level coordination move, which requires the ability to do two things at once dynamically. Additionally,",Unknown,False
b36d3912-538f-423f-9c79-82abc183a50b,uniandes_bouldering_037_20,Late Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentator notes that the climber is able to surf through the jug section of the boulder and is one move in on the bould",Intermediate Expert,False
1485de31-6e23-4d1e-b57a-ba930f737a97,uniandes_bouldering_027_84,Novice,Novice,Novice,True
e8f2df2e-5d2d-4352-b06c-95554b1ecdb3,uniandes_bouldering_031_68,Late Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentary mentions that the climber is able to make progress on the boulder, but also makes mistakes such as losing tension through the feet",Unknown,False
4f53ded9-6a79-4ea0-bc28-f93981f4db82,uniandes_bouldering_029_9,Early Expert,Novice,Novice,False
477451cc-4a81-459b-84b1-eece8122946e,uniandes_bouldering_027_29,Novice,Novice,Novice,True
2e9ee3fb-7252-46fa-a8ed-792e993fba66,uniandes_bouldering_036_27,Intermediate Expert,Novice,Novice,False
b4cc4099-488e-4dd2-9323-a5bfc0b76c56,uniandes_bouldering_027_18,Early Expert,"Based on the commentary, it is difficult to determine the climber's exact skill level. However, the fact that the climber is attempting a move on a slightly crowded start hold and is fully maxed out with their left hand suggests",Unknown,False
e9f50dce-a96e-4979-8fd1-cba0307140ef,uniandes_bouldering_027_108,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentary mentions that the climber is attempting a difficult rollout and power move, which requires a good amount of skill and experience. Additionally,",Intermediate Expert,False
f8531ee6-ed71-46c8-b19c-8bf90f908011,uniandes_bouldering_029_66,Intermediate Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentator mentions that the climber is attempting a ""really big move"" and ""a really distant hold,"" which suggests that they have some experience",Unknown,False
58477770-7532-4d8e-9604-ecd844bfdeea,uniandes_bouldering_036_62,Intermediate Expert,Novice,Novice,False
a0f58a9a-44ff-4a28-9926-79a92d3de2d5,uniandes_bouldering_034_34,Early Expert,Novice,Novice,False
6d9d80c1-9ff3-46be-90fe-ff243d5ccfe0,uniandes_bouldering_028_48,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
6037426d-d8e5-41d1-8714-ad2b85753fa1,uniandes_bouldering_037_30,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
cb400114-e794-49af-92cc-890933fc233a,uniandes_bouldering_034_62,Early Expert,Novice,Novice,False
b550f22d-e337-4a79-b61f-ea911f06cb01,uniandes_bouldering_037_54,Late Expert,Intermediate Expert,Intermediate Expert,False
d8d2b81e-19a4-453e-aea9-6dccee022f4e,uniandes_bouldering_031_47,Late Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is strong but struggles to keep their feet on the wall, and that they need to put more emphasis on",Intermediate Expert,False
f77c0f37-7bd0-4733-84be-49f201041216,uniandes_bouldering_032_53,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
4210c02d-1555-44d9-bd3c-a3a7069c09fc,uniandes_bouldering_029_89,Novice,Novice,Novice,True
8c69e328-8190-4443-af9a-057199134d03,uniandes_bouldering_036_39,Late Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentator mentions that the climber is able to establish a pattern of momentum and initiate their swing in a way that suggests they have some experience with",Unknown,False
59a286b4-f5e5-40e5-88f4-8422879e41ec,uniandes_bouldering_029_5,Intermediate Expert,"Based on the commentary, the climber appears to be at an intermediate skill level. The commentator notes that the climber is ""pretty maxed out"" with their left arm and needs to ""lock off"" their right arm more to",Unknown,False
19451c59-9907-47b8-b51c-c95ff9bcd319,uniandes_bouldering_027_31,Novice,Novice,Novice,True
6d258ba3-363e-4a40-b739-2b1b6e13fa8a,uniandes_bouldering_030_8,Late Expert,"Based on the commentary, the climber is described as being one move into the boulder and having difficulty identifying the correct finish hold. The commentary also mentions that the climber is surfing through jugs and using their he",Unknown,False
41f85c3b-9398-48f4-a758-45078031b07f,uniandes_bouldering_029_72,Early Expert,"Based on the commentary, the climber appears to be at an intermediate skill level. The commentator notes that the climber is attempting to use an intermediate move to help them get further left, which suggests that they have some experience and knowledge of",Unknown,False
599fccf2-b3c2-4eaf-95b2-0749fe66ef4c,uniandes_bouldering_027_114,Novice,Novice,Novice,True
0e787f04-b9a9-4ded-8af9-680a7eddaa35,uniandes_bouldering_035_30,Early Expert,Intermediate Expert,Intermediate Expert,False
f6536ebb-873d-4b26-b094-b4a67134bb03,uniandes_bouldering_037_39,Late Expert,Novice,Novice,False
184366a0-b85c-4b08-87f2-1125f27b37d1,uniandes_bouldering_037_16,Late Expert,Intermediate Expert,Intermediate Expert,False
1f5b4052-c683-436a-be7e-aefd56ede7fa,uniandes_bouldering_037_29,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
15c2eec6-ed88-464d-8917-80ec63c2902c,uniandes_bouldering_037_51,Late Expert,"Based on the commentary, the climber is described as a ""bouldering climber"" and is attempting a move on a wall. The climber is able to match a hold and grab a descending pinch with their left hand,",Unknown,False
d49fcb33-6321-42fd-8fa6-9fdcbb66b72d,uniandes_bouldering_036_73,Late Expert,"Based on the commentary, the climber is described as attempting a difficult move on a boulder, with a hand-foot match and a lot of tension through the right leg required. The climber falls off the boulder while",Unknown,False
ace8113d-5f13-4aa0-bc27-381785968344,uniandes_bouldering_037_36,Late Expert,Intermediate Expert,Intermediate Expert,False
25ee4bea-f32b-4980-89cb-8d5c0df3dacc,uniandes_bouldering_029_90,Novice,"Based on the commentary, the climber appears to be at an intermediate skill level. The commentator notes that the climber is attempting a new beta and is trying different things to accomplish the boulder, which suggests that they are not a",Unknown,False
0ff303fe-f0ec-4f88-af7a-a9b7a347625d,uniandes_bouldering_035_68,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The climber is able to identify the problem and understand the difficulty of the match, but is also able to adapt and try different techniques to overcome the",Intermediate Expert,False
d749d0c9-17e6-4645-84a9-6fc44f8d3a9d,uniandes_bouldering_027_61,Novice,Novice,Novice,True
75286d45-1251-421a-90cb-3f0212443244,uniandes_bouldering_036_8,Late Expert,"Based on the commentary, the climber is described as a ""bouldering climber"" and is able to easily lock off and get into the holds, match feet, and bring their left hand up. They are also able to stand up",Unknown,False
9e7d4067-a515-4290-88e4-03cbe5b945b4,uniandes_bouldering_036_42,Late Expert,"Based on the commentary, it seems that the climber is still in the early stages of learning how to perform a dyno. The commentator mentions that the climber is in the setup phase, but is not able to find the proper",Unknown,False
c79fb1ea-dd6a-4c13-9edd-a09ee0854796,uniandes_bouldering_027_53,Novice,Novice,Novice,True
54e430a9-93f3-4ead-b969-c9b7fa88435e,uniandes_bouldering_037_10,Intermediate Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentator mentions that the climber is able to ""fly pretty far out"" and ""shuffle the hands while your body is moving through space,""",Intermediate Expert,True
cfefdbdc-5182-4b5f-aa0e-45b82516eb05,uniandes_bouldering_027_35,Novice,Novice,Novice,True
586597cc-59c5-45d5-9596-0b6506d9c0ba,uniandes_bouldering_037_38,Late Expert,Intermediate Expert,Intermediate Expert,False
